"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6452,87,2206,2276,1586,297
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",21,,2,9,8,2
"Profes., científicos e intelectuales (002)",400,,63,207,129,1
"Técnicos de nivel medio y trab.asimilados (003)",197,2,64,84,40,7
"Jefes y empleados de oficina (004)",260,,105,89,65,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",768,15,213,283,213,44
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1043,11,344,327,264,97
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",256,7,84,82,65,18
"Obreros construc., conf., papel, fab., instr. (008)",749,4,270,264,198,13
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2233,43,852,751,494,93
"Otra (010)",37,,8,19,10,
"Ocupación no especificada (011)",151,,54,46,39,12
"Desocupado (012)",337,5,147,115,61,9
"Hombres (013)",4917,64,1704,1657,1244,248
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",14,,1,6,6,1
"Profes., científicos e intelectuales (015)",192,,28,84,80,
"Técnicos de nivel medio y trab.asimilados (016)",122,1,42,47,27,5
"Jefes y empleados de oficina (017)",137,,42,48,46,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",379,8,106,126,110,29
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1009,11,336,318,252,92
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",215,5,70,68,54,18
"Obreros construc., conf., papel, fab., instr. (021)",715,4,254,256,188,13
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1747,32,671,575,393,76
"Otra (023)",36,,7,19,10,
"Ocupación no especificada (024)",82,,33,19,25,5
"Desocupado (025)",269,3,114,91,53,8
"Mujeres (026)",1535,23,502,619,342,49
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,,1,3,2,1
"Profes., científicos e intelectuales (028)",208,,35,123,49,1
"Técnicos de nivel medio y trab.asimilados (029)",75,1,22,37,13,2
"Jefes y empleados de oficina (030)",123,,63,41,19,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",389,7,107,157,103,15
"Agricult.trabaj. calif. agrop. y pesqueros (032)",34,,8,9,12,5
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",41,2,14,14,11,
"Obreros construc., conf., papel, fab., instr. (034)",34,,16,8,10,
