"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MORROPON (000)",51202,894,15742,16396,13899,4271
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",63,,5,13,43,2
"Profes., científicos e intelectuales (002)",2221,,344,1024,827,26
"Técnicos de nivel medio y trab.asimilados (003)",915,1,326,376,193,19
"Jefes y empleados de oficina (004)",874,,340,339,190,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5293,71,1266,1999,1650,307
"Agricult.trabaj. calif. agrop. y pesqueros (006)",13343,58,2284,3874,4729,2398
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2659,36,992,894,610,127
"Obreros construc., conf., papel, fab., instr. (008)",3458,11,1294,1319,773,61
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",16579,585,6552,4932,3551,959
"Otra (010)",99,,28,39,32,
"Ocupación no especificada (011)",1632,16,456,554,454,152
"Desocupado (012)",4066,116,1855,1033,847,215
"Hombres (013)",40053,668,12284,12439,10985,3677
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",48,,4,10,32,2
"Profes., científicos e intelectuales (015)",907,,115,381,396,15
"Técnicos de nivel medio y trab.asimilados (016)",555,1,180,232,128,14
"Jefes y empleados de oficina (017)",395,,110,154,126,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",2390,47,636,835,729,143
"Agricult.trabaj. calif. agrop. y pesqueros (019)",12857,55,2170,3742,4587,2303
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",2117,27,788,716,482,104
"Obreros construc., conf., papel, fab., instr. (021)",3352,8,1239,1286,760,59
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",13162,427,5324,3897,2747,767
"Otra (023)",89,,21,37,31,
"Ocupación no especificada (024)",694,10,219,224,181,60
"Desocupado (025)",3487,93,1478,925,786,205
"Mujeres (026)",11149,226,3458,3957,2914,594
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",15,,1,3,11,
"Profes., científicos e intelectuales (028)",1314,,229,643,431,11
"Técnicos de nivel medio y trab.asimilados (029)",360,,146,144,65,5
"Jefes y empleados de oficina (030)",479,,230,185,64,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",2903,24,630,1164,921,164
"Agricult.trabaj. calif. agrop. y pesqueros (032)",486,3,114,132,142,95
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",542,9,204,178,128,23
