"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ASUNCION (000)",3467,3349,916,329,372,314,571,385,259,203,118,11514
"De 12 a 14 años (001)",358,358,358,,,,,,,,,
"De 15 a 19 años (002)",411,405,363,38,4,,,,,,6,46
"De 20 a 24 años (003)",313,274,94,102,53,17,6,2,,,39,298
"De 25 a 29 años (004)",290,261,17,71,93,49,28,2,1,,29,543
"De 30 a 34 años (005)",304,288,20,40,70,63,82,11,2,,16,804
"De 35 a 39 años (006)",299,291,9,20,43,62,101,43,11,2,8,1128
"De 40 a 44 años (007)",222,218,11,7,20,32,78,37,25,8,4,1035
"De 45 a 49 años (008)",204,202,3,4,19,19,52,50,31,24,2,1179
"De 50 y más años (009)",1066,1052,41,47,70,72,224,240,189,169,14,6481
"Sin nivel (010)",1291,1266,50,57,88,104,300,288,205,174,25,7456
"De 12 a 14 años (011)",3,3,3,,,,,,,,,
"De 15 a 19 años (012)",6,5,3,2,,,,,,,1,2
"De 20 a 24 años (013)",19,14,1,4,2,3,2,2,,,5,40
"De 25 a 29 años (014)",18,17,,2,6,4,3,2,,,1,52
"De 30 a 34 años (015)",62,60,,4,8,16,23,7,2,,2,226
"De 35 a 39 años (016)",81,77,2,6,2,11,34,16,4,2,4,347
"De 40 a 44 años (017)",89,88,4,2,7,4,29,22,17,3,1,485
"De 45 a 49 años (018)",125,125,2,4,6,7,27,31,26,22,,821
"De 50 y más años (019)",888,877,35,33,57,59,182,208,156,147,11,5483
"Educacion Inicial (020)",8,7,4,2,,,1,,,,1,6
"De 12 a 14 años (021)",4,4,4,,,,,,,,,
"De 20 a 24 años (023)",2,2,,2,,,,,,,,2
"De 25 a 29 años (024)",1,,,,,,,,,,1,
"De 35 a 39 años (026)",1,1,,,,,1,,,,,4
