"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTABAMBA (000)",4079,2526,842,242,469
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,,2,,22
"Profes., científicos e intelectuales (002)",323,63,77,21,162
"Técnicos de nivel medio y trab. asimilados (003)",64,12,14,3,35
"Jefes y empleados de oficina (004)",74,4,4,5,61
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",244,231,9,2,2
"Agricult.trabaj.calif.agrop.y pesqueros (006)",878,762,115,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",220,140,23,19,38
"Obreros construc.,conf.,papel, fab., instr. (008)",110,59,34,8,9
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2025,1183,544,169,129
"Otra (010)",8,,,,8
"Ocupación no especificada (011)",109,72,20,14,3
"Hombres (012)",2650,1609,545,159,337
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",21,,1,,20
"Profes., científicos e intelectuales (014)",189,39,45,8,97
"Técnicos de nivel medio y trab. asimilados (015)",48,11,9,3,25
"Jefes y empleados de oficina (016)",52,3,3,2,44
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",78,71,3,2,2
"Agricult.trabaj.calif.agrop.y pesqueros (018)",688,599,88,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",190,113,21,19,37
"Obreros construc.,conf.,papel, fab., instr. (020)",103,55,34,6,8
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1230,694,332,110,94
"Otra (022)",8,,,,8
"Ocupación no especificada (023)",43,24,9,8,2
"Mujeres (024)",1429,917,297,83,132
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,1,,2
"Profes., científicos e intelectuales (026)",134,24,32,13,65
"Técnicos de nivel medio y trab. asimilados (027)",16,1,5,,10
"Jefes y empleados de oficina (028)",22,1,1,3,17
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",166,160,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",190,163,27,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",30,27,2,,1
"Obreros construc.,conf.,papel, fab., instr. (032)",7,4,,2,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",795,489,212,59,35
"Ocupación no especificada (035)",66,48,11,6,1
