"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia FERREÑAFE (000)",27955,20993,3026,1948,1988
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,,4,10,19
"Profes., científicos e intelectuales (002)",2072,603,361,602,506
"Técnicos de nivel medio y trab. asimilados (003)",862,371,104,111,276
"Jefes y empleados de oficina (004)",611,137,43,91,340
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2695,2411,154,69,61
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4621,4342,253,21,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1462,1233,134,63,32
"Obreros construc.,conf.,papel, fab., instr. (008)",2267,1808,224,146,89
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",12451,9485,1694,804,468
"Otra (010)",174,,,,174
"Ocupación no especificada (011)",707,603,55,31,18
"Hombres (012)",20603,15330,2523,1403,1347
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",27,,1,9,17
"Profes., científicos e intelectuales (014)",1059,307,192,296,264
"Técnicos de nivel medio y trab. asimilados (015)",525,275,64,60,126
"Jefes y empleados de oficina (016)",307,46,16,51,194
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1151,968,89,57,37
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4205,3935,244,21,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1118,912,120,59,27
"Obreros construc.,conf.,papel, fab., instr. (020)",2230,1780,220,143,87
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",9456,6821,1538,692,405
"Otra (022)",171,,,,171
"Ocupación no especificada (023)",354,286,39,15,14
"Mujeres (024)",7352,5663,503,545,641
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,,3,1,2
"Profes., científicos e intelectuales (026)",1013,296,169,306,242
"Técnicos de nivel medio y trab. asimilados (027)",337,96,40,51,150
"Jefes y empleados de oficina (028)",304,91,27,40,146
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1544,1443,65,12,24
"Agricult.trabaj.calif.agrop.y pesqueros (030)",416,407,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",344,321,14,4,5
"Obreros construc.,conf.,papel, fab., instr. (032)",37,28,4,3,2
