"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia NAZCA (000)",16357,107,406,1042,1830,3531,4725,4716
"De 12 a 14 años (001)",25,,,,,,1,24
"De 15 a 19 años (002)",377,,,,,,197,180
"De 20 a 24 años (003)",1642,,,,,9,823,810
"De 25 a 29 años (004)",2129,,,,,145,1139,845
"De 30 a 34 años (005)",2260,,,,,480,1138,642
"De 35 a 39 años (006)",1991,,,,31,722,837,401
"De 40 a 44 años (007)",1798,,,2,114,847,434,401
"De 45 a 49 años (008)",1430,,,6,333,689,128,274
"De 50 y más años (009)",4705,107,406,1034,1352,639,28,1139
"Conviviente (010)",6129,8,31,113,336,1329,2784,1528
"De 12 a 14 años (011)",21,,,,,,,21
"De 15 a 19 años (012)",257,,,,,,129,128
"De 20 a 24 años (013)",878,,,,,4,566,308
"De 25 a 29 años (014)",1160,,,,,81,760,319
"De 30 a 34 años (015)",1171,,,,,247,660,264
"De 35 a 39 años (016)",896,,,,9,339,410,138
"De 40 a 44 años (017)",642,,,1,34,293,197,117
"De 45 a 49 años (018)",382,,,3,70,197,55,57
"De 50 y más años (019)",722,8,31,109,223,168,7,176
"Separado(a) (020)",1206,6,21,66,175,349,322,267
"De 15 a 19 años (022)",33,,,,,,19,14
"De 20 a 24 años (023)",105,,,,,2,67,36
"De 25 a 29 años (024)",117,,,,,17,73,27
"De 30 a 34 años (025)",158,,,,,47,74,37
"De 35 a 39 años (026)",148,,,,4,69,46,29
"De 40 a 44 años (027)",169,,,1,8,88,31,41
"De 45 a 49 años (028)",127,,,1,30,65,11,20
"De 50 y más años (029)",349,6,21,64,133,61,1,63
"Casado(a) (030)",5528,18,154,557,1002,1460,1206,1131
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",28,,,,,,12,16
"De 20 a 24 años (033)",143,,,,,1,87,55
"De 25 a 29 años (034)",298,,,,,21,192,85
"De 30 a 34 años (035)",559,,,,,108,335,116
"De 35 a 39 años (036)",694,,,,11,237,327,119
"De 40 a 44 años (037)",758,,,,47,393,178,140
"De 45 a 49 años (038)",742,,,2,184,375,57,124
"De 50 y más años (039)",2305,18,154,555,760,325,18,475
"Viudo(a) (040)",1132,61,181,256,197,105,25,307
"De 15 a 19 años (042)",2,,,,,,,2
"De 20 a 24 años (043)",2,,,,,,1,1
"De 25 a 29 años (044)",10,,,,,1,4,5
"De 30 a 34 años (045)",17,,,,,8,4,5
"De 35 a 39 años (046)",26,,,,1,13,7,5
"De 40 a 44 años (047)",46,,,,3,25,6,12
"De 45 a 49 años (048)",47,,,,19,14,2,12
"De 50 y más años (049)",982,61,181,256,174,44,1,265
