"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AYABACA (000)",1619,86,901,382,183,67
"Conviviente (001)",306,2,143,112,43,6
"Separado(a) (002)",16,,5,5,4,2
"Casado(a) (003)",389,,75,161,108,45
"Viudo(a) (004)",13,,,2,3,8
"Divorciado(a) (005)",5,,,2,3,
"Soltero(a) (006)",890,84,678,100,22,6
"Hombres (008)",1346,62,718,335,166,65
"Conviviente (009)",270,2,121,100,41,6
"Separado(a) (010)",14,,4,5,3,2
"Casado(a) (011)",354,,63,146,101,44
"Viudo(a) (012)",10,,,1,1,8
"Divorciado(a) (013)",3,,,2,1,
"Soltero(a) (014)",695,60,530,81,19,5
"Mujeres (016)",273,24,183,47,17,2
"Conviviente (017)",36,,22,12,2,
"Separado(a) (018)",2,,1,,1,
"Casado(a) (019)",35,,12,15,7,1
"Viudo(a) (020)",3,,,1,2,
"Divorciado(a) (021)",2,,,,2,
"Soltero(a) (022)",195,24,148,19,3,1
,,,,,,
"AREA URBANA (024)",360,7,195,94,53,11
"Conviviente (025)",89,1,38,34,14,2
"Separado(a) (026)",10,,3,5,2,
"Casado(a) (027)",69,,7,26,30,6
"Viudo(a) (028)",3,,,,1,2
"Divorciado(a) (029)",1,,,,1,
"Soltero(a) (030)",188,6,147,29,5,1
"Hombres (032)",255,5,130,66,43,11
"Conviviente (033)",65,1,25,24,13,2
"Separado(a) (034)",9,,3,5,1,
"Casado(a) (035)",51,,2,18,25,6
"Viudo(a) (036)",2,,,,,2
"Soltero(a) (038)",128,4,100,19,4,1
"Mujeres (040)",105,2,65,28,10,
"Conviviente (041)",24,,13,10,1,
"Separado(a) (042)",1,,,,1,
"Casado(a) (043)",18,,5,8,5,
"Viudo(a) (044)",1,,,,1,
"Divorciado(a) (045)",1,,,,1,
"Soltero(a) (046)",60,2,47,10,1,
,,,,,,
"AREA RURAL (048)",1259,79,706,288,130,56
"Conviviente (049)",217,1,105,78,29,4
"Separado(a) (050)",6,,2,,2,2
"Casado(a) (051)",320,,68,135,78,39
"Viudo(a) (052)",10,,,2,2,6
"Divorciado(a) (053)",4,,,2,2,
"Soltero(a) (054)",702,78,531,71,17,5
"Hombres (056)",1091,57,588,269,123,54
"Conviviente (057)",205,1,96,76,28,4
"Separado(a) (058)",5,,1,,2,2
"Casado(a) (059)",303,,61,128,76,38
"Viudo(a) (060)",8,,,1,1,6
"Divorciado(a) (061)",3,,,2,1,
"Soltero(a) (062)",567,56,430,62,15,4
"Mujeres (064)",168,22,118,19,7,2
"Conviviente (065)",12,,9,2,1,
"Separado(a) (066)",1,,1,,,
"Casado(a) (067)",17,,7,7,2,1
"Viudo(a) (068)",2,,,1,1,
"Divorciado(a) (069)",1,,,,1,
"Soltero(a) (070)",135,22,101,9,2,1
