"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",6732,6278,19,1314,1415,1037,1331,751,318,93,454,21605
"De 12 a 14 años (001)",9,5,1,4,,,,,,,4,4
"De 15 a 19 años (002)",136,117,2,102,12,1,,,,,19,129
"De 20 a 24 años (003)",600,464,3,331,116,10,3,1,,,136,613
"De 25 a 29 años (004)",783,669,4,306,253,73,33,,,,114,1167
"De 30 a 34 años (005)",756,691,,197,257,164,62,10,1,,65,1539
"De 35 a 39 años (006)",705,665,,120,217,176,119,29,4,,40,1805
"De 40 a 44 años (007)",643,622,1,54,171,156,178,45,15,2,21,2064
"De 45 a 49 años (008)",574,568,1,48,122,120,185,77,11,4,6,2083
"De 50 y más años (009)",2526,2477,7,152,267,337,751,589,287,87,49,12201
"Conviviente (010)",2017,1950,8,656,635,304,243,69,30,5,67,4643
"De 12 a 14 años (011)",5,2,1,1,,,,,,,3,1
"De 15 a 19 años (012)",96,82,2,69,11,,,,,,14,91
"De 20 a 24 años (013)",346,324,2,221,95,5,1,,,,22,431
"De 25 a 29 años (014)",435,421,1,192,154,52,22,,,,14,748
"De 30 a 34 años (015)",344,340,,82,147,81,28,2,,,4,750
"De 35 a 39 años (016)",265,262,,49,89,67,45,12,,,3,694
"De 40 a 44 años (017)",161,159,1,16,51,35,44,9,3,,2,499
"De 45 a 49 años (018)",144,144,1,8,50,26,42,16,1,,,482
"De 50 y más años (019)",221,216,,18,38,38,61,30,26,5,5,947
"Separado(a) (020)",206,194,,57,43,33,36,14,10,1,12,582
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",4,3,,3,,,,,,,1,3
"De 20 a 24 años (023)",12,10,,9,1,,,,,,2,11
