"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia AYABACA (000)",35768,880,11667,10790,8905,3526
"Agric., ganadería, caza y silvicultura (001)",27078,740,8864,7489,6838,3147
"Pesca (002)",12,,9,,1,2
"Explotación de minas y canteras (003)",404,3,209,119,66,7
"Industrias manufactureras (004)",525,11,158,164,145,47
"Suministro de electricidad, gas y agua (005)",79,,23,36,14,6
"Construcción (006)",612,6,191,240,149,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1734,42,465,641,482,104
"Venta, mant.y rep. veh.autom.y motoc. (008)",69,2,29,24,13,1
"Comercio al por mayor (009)",90,,20,42,24,4
"Comercio al por menor (010)",1575,40,416,575,445,99
"Hoteles y restaurantes (011)",570,24,181,177,160,28
"Trans., almac. y comunicaciones (012)",469,17,212,154,81,5
"Intermediación financiera (013)",9,,4,3,2,
"Activid.inmobil., empres. y alquileres (014)",205,,80,78,46,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",511,,145,244,117,5
"Enseñanza (016)",1579,,301,879,392,7
"Servicios sociales y de salud (017)",229,,89,97,40,3
"Otras activ. serv.comun.soc y personales (018)",172,8,52,60,44,8
"Hogares privados con servicio doméstico (019)",395,25,235,70,54,11
"Actividad economica no especificada (021)",1185,4,449,339,274,119
"Hombres (022)",30891,737,10156,9098,7696,3204
"Agric., ganadería, caza y silvicultura (023)",26013,660,8567,7261,6523,3002
"Pesca (024)",11,,9,,1,1
"Explotación de minas y canteras (025)",398,3,207,116,65,7
"Industrias manufactureras (026)",326,6,98,106,84,32
"Suministro de electricidad, gas y agua (027)",76,,22,34,14,6
"Construcción (028)",607,5,190,240,146,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1018,26,268,368,285,71
"Venta, mant.y rep. veh.autom.y motoc. (030)",66,2,28,23,12,1
"Comercio al por mayor (031)",52,,9,25,14,4
"Comercio al por menor (032)",900,24,231,320,259,66
"Hoteles y restaurantes (033)",154,8,52,47,39,8
"Trans., almac. y comunicaciones (034)",457,17,203,153,80,4
"Intermediación financiera (035)",4,,2,,2,
"Activid.inmobil., empres. y alquileres (036)",126,,40,54,31,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",381,,94,183,99,5
"Enseñanza (038)",711,,101,394,211,5
"Servicios sociales y de salud (039)",90,,32,25,30,3
"Otras activ. serv.comun.soc y personales (040)",92,6,34,31,17,4
