"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANCHEZ CARRION (000)",35416,31352,1441,987,1636
"Sin nivel (001)",8583,8309,168,45,61
"Educación inicial (002)",86,84,1,1,
"Primaria (003)",18246,17236,573,229,208
"Secundaria (004)",4104,3410,265,151,278
"Superior no univ. incompleta (005)",651,456,55,51,89
"Superior no univ. completa (006)",1946,999,227,247,473
"Superior univ. incompleta (007)",448,287,33,36,92
"Superior univ. completa (008)",1352,571,119,227,435
"De 06 a 14 años (010)",1116,1091,15,9,1
"Sin nivel (011)",224,221,3,,
"Educación inicial (012)",9,9,,,
"Primaria (013)",766,751,9,6,
"Secundaria (014)",117,110,3,3,1
"De 15 a 29 años (020)",13131,11712,589,329,501
"Sin nivel (021)",1857,1790,36,13,18
"Educación inicial (022)",54,52,1,1,
"Primaria (023)",7333,6898,249,97,89
"Secundaria (024)",2452,2090,164,78,120
"Superior no univ. incompleta (025)",284,211,24,16,33
"Superior no univ. completa (026)",630,365,72,66,127
"Superior univ. incompleta (027)",185,138,10,13,24
"Superior univ. completa (028)",336,168,33,45,90
"De 30 a 44 años (030)",11160,9392,557,445,766
"Sin nivel (031)",2624,2512,62,23,27
"Educación inicial (032)",23,23,,,
"Primaria (033)",5454,5100,208,83,63
"Secundaria (034)",1000,789,63,53,95
"Superior no univ. incompleta (035)",240,159,23,19,39
"Superior no univ. completa (036)",988,466,121,134,267
"Superior univ. incompleta (037)",167,94,18,15,40
"Superior univ. completa (038)",664,249,62,118,235
"De 45 a 64 años (040)",7583,6786,242,193,362
"Sin nivel (041)",2549,2480,48,7,14
"Primaria (043)",3705,3519,94,38,54
"Secundaria (044)",492,382,33,17,60
"Superior no univ. incompleta (045)",113,72,8,16,17
"Superior no univ. completa (046)",313,155,33,46,79
"Superior univ. incompleta (047)",82,43,4,7,28
"Superior univ. completa (048)",329,135,22,62,110
"De 65 y más años (050)",2426,2371,38,11,6
"Sin nivel (051)",1329,1306,19,2,2
"Primaria (053)",988,968,13,5,2
"Secundaria (054)",43,39,2,,2
"Superior no univ. incompleta (055)",14,14,,,
"Superior no univ. completa (056)",15,13,1,1,
"Superior univ. incompleta (057)",14,12,1,1,
"Superior univ. completa (058)",23,19,2,2,
,,,,,
