"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUAURA (000)",77322,163,8562,3923,3531,13043,8027,5279,8840,24028,424,1502
"Agric., ganadería, caza y silvicultura (001)",19519,1,147,116,45,1,7225,20,90,11874,,
"Pesca (002)",1461,7,44,32,21,,802,11,22,522,,
"Explotación de minas y canteras (003)",162,,31,8,11,1,,61,22,28,,
"Industrias manufactureras (004)",5333,4,248,308,217,58,,3351,820,327,,
"Suministro de electricidad, gas y agua (005)",157,,22,24,20,,,35,23,33,,
"Construcción (006)",3996,1,77,118,19,,,360,2455,966,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",15602,13,224,683,258,9531,,1240,187,3466,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1426,,27,74,21,239,,938,83,44,,
"Comercio al por mayor (009)",934,6,39,137,76,515,,3,26,132,,
"Comercio al por menor (010)",13242,7,158,472,161,8777,,299,78,3290,,
"Hoteles y restaurantes (011)",3953,1,62,155,159,2221,,,,1355,,
"Trans., almac. y comunicaciones (012)",6791,7,69,216,294,47,,54,5028,1076,,
"Intermediación financiera (013)",462,3,57,94,291,,,,,17,,
"Activid.inmobil., empres. y alquileres (014)",4081,10,928,790,665,714,,45,93,836,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2354,48,444,283,806,41,,7,47,254,424,
"Enseñanza (016)",5486,64,5006,72,270,,,,1,73,,
"Servicios sociales y de salud (017)",1662,,822,511,129,56,,10,15,119,,
"Otras activ. serv.comun.soc y personales (018)",2392,3,298,448,181,369,,85,33,975,,
"Hogares privados con servicio doméstico (019)",2111,,1,6,,4,,,,2100,,
"Actividad economica no especificada (021)",1800,1,82,59,145,,,,4,7,,1502
"Hombres (022)",50964,105,4158,2522,1672,5845,7094,4458,8623,15287,399,801
"Agric., ganadería, caza y silvicultura (023)",15595,1,114,92,31,,6298,17,89,8953,,
"Pesca (024)",1402,6,28,26,9,,796,11,22,504,,
"Explotación de minas y canteras (025)",155,,26,8,9,1,,61,22,28,,
"Industrias manufactureras (026)",4140,3,178,229,131,25,,2608,697,269,,
"Suministro de electricidad, gas y agua (027)",137,,18,22,10,,,34,23,30,,
"Construcción (028)",3911,1,62,109,12,,,351,2433,943,,
