"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJATAMBO (000)",2864,2167,191,165,341
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",17,,2,2,13
"Profes., científicos e intelectuales (002)",348,92,67,114,75
"Técnicos de nivel medio y trab. asimilados (003)",46,10,10,7,19
"Jefes y empleados de oficina (004)",82,5,2,8,67
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",210,191,6,4,9
"Agricult.trabaj.calif.agrop.y pesqueros (006)",974,948,26,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",165,68,7,4,86
"Obreros construc.,conf.,papel, fab., instr. (008)",90,47,10,8,25
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",847,750,52,10,35
"Otra (010)",12,,,,12
"Ocupación no especificada (011)",73,56,9,8,
"Hombres (012)",2085,1568,146,111,260
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",14,,2,2,10
"Profes., científicos e intelectuales (014)",186,33,43,71,39
"Técnicos de nivel medio y trab. asimilados (015)",36,9,7,5,15
"Jefes y empleados de oficina (016)",45,3,1,3,38
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",81,70,2,3,6
"Agricult.trabaj.calif.agrop.y pesqueros (018)",858,835,23,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",157,61,6,4,86
"Obreros construc.,conf.,papel, fab., instr. (020)",90,47,10,8,25
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",571,487,45,9,30
"Otra (022)",11,,,,11
"Ocupación no especificada (023)",36,23,7,6,
"Mujeres (024)",779,599,45,54,81
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,,,3
"Profes., científicos e intelectuales (026)",162,59,24,43,36
"Técnicos de nivel medio y trab. asimilados (027)",10,1,3,2,4
"Jefes y empleados de oficina (028)",37,2,1,5,29
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",129,121,4,1,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",116,113,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",8,7,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",276,263,7,1,5
"Otra (034)",1,,,,1
"Ocupación no especificada (035)",37,33,2,2,
,,,,,
"URBANA (036)",1734,1269,128,148,189
