"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CARHUAZ (000)",15552,4939,10613
"Casa independiente (001)",15352,4894,10458
"Departamento en edificio (002)",7,7,
"Vivienda en quinta (003)",8,8,
"Vivienda en casa de vecindad (004)",12,12,
"Choza o cabaña (005)",155,,155
"Vivienda improvisada (006)",14,14,
"Local no dest.para hab. humana (007)",4,4,
