"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia TRUJILLO (000)",329463,111281,61267,114912,6891,8945,12933,13234
"Agric., ganadería, caza y silvicultura (001)",15567,1116,6382,6398,489,1182,,
"Pesca (002)",699,97,424,134,14,30,,
"Explotación de minas y canteras (003)",1831,695,931,142,47,16,,
"Industrias manufactureras (004)",44409,4096,21903,16191,1379,840,,
"Suministro de electricidad, gas y agua (005)",896,498,321,72,3,2,,
"Construcción (006)",23928,1670,14809,6796,501,152,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",80193,21144,4594,47289,2301,4865,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",8714,1613,2368,4231,330,172,,
"Comercio al por mayor (009)",4732,2486,382,1491,176,197,,
"Comercio al por menor (010)",66747,17045,1844,41567,1795,4496,,
"Hoteles y restaurantes (011)",18998,7874,1191,8525,645,763,,
"Trans., almac. y comunicaciones (012)",34140,11647,6339,15356,517,281,,
"Intermediación financiera (013)",3163,3005,21,92,22,23,,
"Activid.inmobil., empres. y alquileres (014)",21500,15112,899,4865,526,98,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",9339,8371,968,,,,,
"Enseñanza (016)",21877,19990,28,1726,72,61,,
"Servicios sociales y de salud (017)",8570,7164,81,1193,91,41,,
"Otras activ. serv.comun.soc y personales (018)",11765,6008,944,4533,170,110,,
"Hogares privados con servicio doméstico (019)",12933,,,,,,12933,
"Organiz. y organos extraterritoriales (020)",3,3,,,,,,
"Actividad economica no especificada (021)",6418,2791,1432,1600,114,481,,
"Desocupado (022)",13234,,,,,,,13234
"Hombres (023)",205624,60704,52181,75284,4830,3693,505,8427
"Agric., ganadería, caza y silvicultura (024)",13165,880,5296,5667,425,897,,
"Pesca (025)",659,79,409,128,14,29,,
"Explotación de minas y canteras (026)",1684,604,887,134,44,15,,
"Industrias manufactureras (027)",33248,2795,16869,11958,1101,525,,
"Suministro de electricidad, gas y agua (028)",783,401,312,65,3,2,,
"Construcción (029)",23035,1373,14407,6640,475,140,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",43229,10541,4304,25687,1412,1285,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",8007,1159,2326,4079,308,135,,
"Comercio al por mayor (032)",2877,1457,351,886,128,55,,
"Comercio al por menor (033)",32345,7925,1627,20722,976,1095,,
"Hoteles y restaurantes (034)",6113,3123,501,1955,275,259,,
"Trans., almac. y comunicaciones (035)",31115,9419,6138,14886,453,219,,
"Intermediación financiera (036)",1730,1632,20,48,17,13,,
"Activid.inmobil., empres. y alquileres (037)",14120,9331,716,3626,400,47,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",6045,5514,531,,,,,
"Enseñanza (039)",8398,7562,25,767,24,20,,
"Servicios sociales y de salud (040)",3162,2374,47,675,53,13,,
"Otras activ. serv.comun.soc y personales (041)",6659,3623,699,2184,81,72,,
"Hogares privados con servicio doméstico (042)",505,,,,,,505,
"Organiz. y organos extraterritoriales (043)",1,1,,,,,,
"Actividad economica no especificada (044)",3546,1452,1020,864,53,157,,
"Desocupado (045)",8427,,,,,,,8427
"Mujeres (046)",123839,50577,9086,39628,2061,5252,12428,4807
"Agric., ganadería, caza y silvicultura (047)",2402,236,1086,731,64,285,,
"Pesca (048)",40,18,15,6,,1,,
"Explotación de minas y canteras (049)",147,91,44,8,3,1,,
"Industrias manufactureras (050)",11161,1301,5034,4233,278,315,,
"Suministro de electricidad, gas y agua (051)",113,97,9,7,,,,
"Construcción (052)",893,297,402,156,26,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",36964,10603,290,21602,889,3580,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",707,454,42,152,22,37,,
"Comercio al por mayor (055)",1855,1029,31,605,48,142,,
"Comercio al por menor (056)",34402,9120,217,20845,819,3401,,
"Hoteles y restaurantes (057)",12885,4751,690,6570,370,504,,
"Trans., almac. y comunicaciones (058)",3025,2228,201,470,64,62,,
"Intermediación financiera (059)",1433,1373,1,44,5,10,,
"Activid.inmobil., empres. y alquileres (060)",7380,5781,183,1239,126,51,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",3294,2857,437,,,,,
"Enseñanza (062)",13479,12428,3,959,48,41,,
"Servicios sociales y de salud (063)",5408,4790,34,518,38,28,,
"Otras activ. serv.comun.soc y personales (064)",5106,2385,245,2349,89,38,,
"Hogares privados con servicio doméstico (065)",12428,,,,,,12428,
"Organiz. y organos extraterritoriales (066)",2,2,,,,,,
"Actividad economica no especificada (067)",2872,1339,412,736,61,324,,
"Desocupado (068)",4807,,,,,,,4807
,,,,,,,,
"URBANA (069)",322007,110538,59122,111619,6825,8268,12677,12958
"Agric., ganadería, caza y silvicultura (070)",11500,1081,5170,4197,449,603,,
"Pesca (071)",690,97,418,131,14,30,,
"Explotación de minas y canteras (072)",1699,689,810,137,47,16,,
"Industrias manufactureras (073)",43955,4057,21643,16052,1374,829,,
"Suministro de electricidad, gas y agua (074)",882,493,315,69,3,2,,
"Construcción (075)",23534,1664,14537,6689,496,148,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",79513,21032,4544,46818,2292,4827,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",8629,1604,2333,4194,326,172,,
"Comercio al por mayor (078)",4701,2483,375,1476,176,191,,
"Comercio al por menor (079)",66183,16945,1836,41148,1790,4464,,
"Hoteles y restaurantes (080)",18772,7780,1178,8435,639,740,,
"Trans., almac. y comunicaciones (081)",33731,11549,6212,15177,517,276,,
"Intermediación financiera (082)",3155,2997,21,92,22,23,,
"Activid.inmobil., empres. y alquileres (083)",21389,15033,885,4847,526,98,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",9282,8324,958,,,,,
"Enseñanza (085)",21765,19884,28,1720,72,61,,
"Servicios sociales y de salud (086)",8531,7137,80,1184,91,39,,
"Otras activ. serv.comun.soc y personales (087)",11651,5955,920,4503,170,103,,
"Hogares privados con servicio doméstico (088)",12677,,,,,,12677,
"Organiz. y organos extraterritoriales (089)",3,3,,,,,,
"Actividad economica no especificada (090)",6320,2763,1403,1568,113,473,,
"Desocupado (091)",12958,,,,,,,12958
"Hombres (092)",199755,60263,50265,72568,4778,3181,493,8207
"Agric., ganadería, caza y silvicultura (093)",9461,847,4205,3599,392,418,,
"Pesca (094)",650,79,403,125,14,29,,
"Explotación de minas y canteras (095)",1562,598,774,131,44,15,,
"Industrias manufactureras (096)",32895,2764,16670,11848,1096,517,,
"Suministro de electricidad, gas y agua (097)",770,397,306,62,3,2,,
"Construcción (098)",22658,1367,14148,6534,470,139,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",42926,10481,4255,25507,1407,1276,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",7924,1151,2291,4042,305,135,,
