"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PUERTO INCA (000)",10885,731,1867,5696,118,1685,197,591
"Agric., ganadería, caza y silvicultura (001)",7977,5,1538,4806,88,1540,,
"Pesca (002)",6,,,4,,2,,
"Explotación de minas y canteras (003)",78,,24,40,1,13,,
"Industrias manufactureras (004)",194,4,67,96,12,15,,
"Suministro de electricidad, gas y agua (005)",2,,2,,,,,
"Construcción (006)",165,7,123,29,1,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",442,34,13,344,9,42,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",41,1,7,31,,2,,
"Comercio al por mayor (009)",18,3,2,10,1,2,,
"Comercio al por menor (010)",383,30,4,303,8,38,,
"Hoteles y restaurantes (011)",192,18,13,144,2,15,,
"Trans., almac. y comunicaciones (012)",165,27,25,106,4,3,,
"Intermediación financiera (013)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (014)",29,26,2,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",177,136,41,,,,,
"Enseñanza (016)",355,349,,6,,,,
"Servicios sociales y de salud (017)",87,84,,3,,,,
"Otras activ. serv.comun.soc y personales (018)",54,19,4,22,,9,,
"Hogares privados con servicio doméstico (019)",197,,,,,,197,
"Actividad economica no especificada (021)",172,20,15,95,1,41,,
"Desocupado (022)",591,,,,,,,591
"Hombres (023)",8849,441,1645,5008,106,1080,117,452
"Agric., ganadería, caza y silvicultura (024)",6950,5,1338,4504,81,1022,,
"Pesca (025)",5,,,4,,1,,
"Explotación de minas y canteras (026)",74,,24,37,1,12,,
"Industrias manufactureras (027)",178,4,65,85,12,12,,
"Suministro de electricidad, gas y agua (028)",2,,2,,,,,
"Construcción (029)",163,5,123,29,1,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",248,20,13,198,6,11,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",36,1,7,27,,1,,
"Comercio al por mayor (032)",14,2,2,8,,2,,
"Comercio al por menor (033)",198,17,4,163,6,8,,
"Hoteles y restaurantes (034)",29,7,2,16,1,3,,
"Trans., almac. y comunicaciones (035)",155,23,24,103,4,1,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",23,20,2,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",153,113,40,,,,,
"Enseñanza (039)",191,189,,2,,,,
"Servicios sociales y de salud (040)",40,37,,3,,,,
"Otras activ. serv.comun.soc y personales (041)",24,12,3,3,,6,,
"Hogares privados con servicio doméstico (042)",117,,,,,,117,
"Actividad economica no especificada (044)",44,5,9,23,,7,,
"Desocupado (045)",452,,,,,,,452
"Mujeres (046)",2036,290,222,688,12,605,80,139
"Agric., ganadería, caza y silvicultura (047)",1027,,200,302,7,518,,
"Pesca (048)",1,,,,,1,,
"Explotación de minas y canteras (049)",4,,,3,,1,,
"Industrias manufactureras (050)",16,,2,11,,3,,
"Construcción (052)",2,2,,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",194,14,,146,3,31,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",5,,,4,,1,,
"Comercio al por mayor (055)",4,1,,2,1,,,
"Comercio al por menor (056)",185,13,,140,2,30,,
"Hoteles y restaurantes (057)",163,11,11,128,1,12,,
"Trans., almac. y comunicaciones (058)",10,4,1,3,,2,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",6,6,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",24,23,1,,,,,
"Enseñanza (062)",164,160,,4,,,,
"Servicios sociales y de salud (063)",47,47,,,,,,
"Otras activ. serv.comun.soc y personales (064)",30,7,1,19,,3,,
"Hogares privados con servicio doméstico (065)",80,,,,,,80,
"Actividad economica no especificada (067)",128,15,6,72,1,34,,
,,,,,,,,
"URBANA (068)",2319,426,468,979,35,162,50,199
"Agric., ganadería, caza y silvicultura (069)",796,3,275,414,15,89,,
"Pesca (070)",5,,,3,,2,,
"Explotación de minas y canteras (071)",10,,3,7,,,,
"Industrias manufactureras (072)",132,2,39,74,9,8,,
"Construcción (074)",110,6,78,23,1,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",297,24,11,225,6,31,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",31,1,6,22,,2,,
"Comercio al por mayor (077)",12,1,1,8,1,1,,
"Comercio al por menor (078)",254,22,4,195,5,28,,
"Hoteles y restaurantes (079)",127,13,6,99,1,8,,
"Trans., almac. y comunicaciones (080)",120,23,18,75,2,2,,
"Intermediación financiera (081)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (082)",20,19,,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",149,122,27,,,,,
"Enseñanza (084)",145,141,,4,,,,
"Servicios sociales y de salud (085)",52,49,,3,,,,
"Otras activ. serv.comun.soc y personales (086)",41,13,2,19,,7,,
"Hogares privados con servicio doméstico (087)",50,,,,,,50,
"Actividad economica no especificada (089)",65,10,9,32,1,13,,
"Desocupado (090)",199,,,,,,,199
"Hombres (091)",1679,271,419,697,31,82,17,162
"Agric., ganadería, caza y silvicultura (092)",689,3,238,370,15,63,,
"Pesca (093)",4,,,3,,1,,
"Explotación de minas y canteras (094)",10,,3,7,,,,
"Industrias manufactureras (095)",118,2,38,64,9,5,,
"Construcción (097)",108,4,78,23,1,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",160,13,11,128,3,5,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",26,1,6,18,,1,,
"Comercio al por mayor (100)",8,,1,6,,1,,
"Comercio al por menor (101)",126,12,4,104,3,3,,
"Hoteles y restaurantes (102)",19,3,1,14,1,,,
"Trans., almac. y comunicaciones (103)",111,19,17,73,2,,,
"Intermediación financiera (104)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (105)",14,13,,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",128,102,26,,,,,
"Enseñanza (107)",78,78,,,,,,
"Servicios sociales y de salud (108)",25,22,,3,,,,
"Otras activ. serv.comun.soc y personales (109)",15,8,1,2,,4,,
"Hogares privados con servicio doméstico (110)",17,,,,,,17,
"Actividad economica no especificada (112)",20,3,6,9,,2,,
"Desocupado (113)",162,,,,,,,162
"Mujeres (114)",640,155,49,282,4,80,33,37
"Agric., ganadería, caza y silvicultura (115)",107,,37,44,,26,,
"Pesca (116)",1,,,,,1,,
"Industrias manufactureras (118)",14,,1,10,,3,,
"Construcción (120)",2,2,,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",137,11,,97,3,26,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",5,,,4,,1,,
"Comercio al por mayor (123)",4,1,,2,1,,,
"Comercio al por menor (124)",128,10,,91,2,25,,
