"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SAN MARCOS",,,
"Viviendas particulares (001)",13061,3203,9858
"Ocupantes presentes (002)",49938,12560,37378
"Casa independiente",,,
"Viviendas particulares (004)",12263,3074,9189
"Ocupantes presentes (005)",47108,12125,34983
"Departamento en edificio",,,
"Viviendas particulares (007)",21,21,
"Ocupantes presentes (008)",67,67,
"Vivienda en quinta",,,
"Viviendas particulares (010)",89,89,
"Ocupantes presentes (011)",304,304,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",16,14,2
"Ocupantes presentes (014)",55,49,6
"Choza o cabaña",,,
"Viviendas particulares (016)",665,2,663
"Ocupantes presentes (017)",2379,5,2374
"Vivienda improvisada",,,
"Viviendas particulares (019)",1,1,
"Ocupantes presentes (020)",2,2,
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",6,2,4
"Ocupantes presentes (023)",23,8,15
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",2690,2263,427
"Ocupantes presentes (029)",10551,9083,1468
"Casa independiente",,,
"Viviendas particulares (031)",2562,2137,425
"Ocupantes presentes (032)",10121,8659,1462
"Departamento en edificio",,,
"Viviendas particulares (034)",21,21,
"Ocupantes presentes (035)",67,67,
"Vivienda en quinta",,,
"Viviendas particulares (037)",89,89,
"Ocupantes presentes (038)",304,304,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",16,14,2
"Ocupantes presentes (041)",55,49,6
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",1,1,
"Ocupantes presentes (047)",2,2,
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",1,1,
"Ocupantes presentes (050)",2,2,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",10371,940,9431
"Ocupantes presentes (056)",39387,3477,35910
"Casa independiente",,,
"Viviendas particulares (058)",9701,937,8764
"Ocupantes presentes (059)",36987,3466,33521
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",665,2,663
"Ocupantes presentes (071)",2379,5,2374
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",5,1,4
"Ocupantes presentes (077)",21,6,15
"Otro tipo",,,
