"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SIHUAS (000)",11033,10740,3375,1138,1055,997,1646,1276,755,498,293,33625
"De 12 a 14 años (001)",1411,1404,1400,3,1,,,,,,7,5
"De 15 a 19 años (002)",1490,1461,1280,163,12,4,2,,,,29,207
"De 20 a 24 años (003)",1136,1029,335,392,206,67,27,2,,,107,1134
"De 25 a 29 años (004)",808,758,88,208,211,164,80,7,,,50,1503
"De 30 a 34 años (005)",924,897,47,122,207,209,232,71,7,2,27,2707
"De 35 a 39 años (006)",909,890,18,62,132,164,319,145,40,10,19,3588
"De 40 a 44 años (007)",864,854,25,21,78,114,286,205,98,27,10,4215
"De 45 a 49 años (008)",722,716,11,33,50,80,174,194,116,58,6,4029
"De 50 y más años (009)",2769,2731,171,134,158,195,526,652,494,401,38,16237
"Sin nivel (010)",3865,3797,303,229,314,375,820,824,540,392,68,19870
"De 12 a 14 años (011)",39,39,39,,,,,,,,,
"De 15 a 19 años (012)",84,83,67,14,,2,,,,,1,20
"De 20 a 24 años (013)",136,129,26,47,32,14,10,,,,7,196
"De 25 a 29 años (014)",153,139,11,21,40,42,24,1,,,14,335
"De 30 a 34 años (015)",292,286,9,16,49,75,95,37,4,1,6,1039
"De 35 a 39 años (016)",347,340,7,16,38,45,128,72,26,8,7,1552
"De 40 a 44 años (017)",362,358,10,7,23,24,115,109,53,17,4,1968
"De 45 a 49 años (018)",381,379,2,17,21,36,68,115,82,38,2,2330
"De 50 y más años (019)",2071,2044,132,91,111,137,380,490,375,328,27,12430
"Educacion Inicial (020)",29,27,10,2,3,5,6,1,,,2,58
"De 12 a 14 años (021)",5,4,4,,,,,,,,1,
"De 15 a 19 años (022)",7,6,6,,,,,,,,1,
