"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHUMBIVILCAS (000)",26562,5921,20641
"Casa independiente (001)",21998,5605,16393
"Departamento en edificio (002)",7,7,
"Vivienda en quinta (003)",29,29,
"Vivienda en casa de vecindad (004)",239,239,
"Choza o cabaña (005)",4238,,4238
"Vivienda improvisada (006)",29,29,
"Local no dest.para hab. humana (007)",20,12,8
"Otro tipo (008)",2,,2
