"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ALTO AMAZONAS (000)",24490,72,314,875,1914,4298,10903,6114
"De 12 a 14 años (001)",89,,,,,,11,78
"De 15 a 19 años (002)",1676,,,,,,940,736
"De 20 a 24 años (003)",3310,,,,,5,2217,1088
"De 25 a 29 años (004)",3513,,,,,130,2493,890
"De 30 a 34 años (005)",3001,,,,,349,2075,577
"De 35 a 39 años (006)",3032,,,,23,757,1742,510
"De 40 a 44 años (007)",2477,,,1,105,966,961,444
"De 45 a 49 años (008)",1995,,,4,265,988,399,339
"De 50 y más años (009)",5397,72,314,870,1521,1103,65,1452
"Conviviente (010)",13341,4,35,144,558,1916,7470,3214
"De 12 a 14 años (011)",61,,,,,,3,58
"De 15 a 19 años (012)",1260,,,,,,692,568
"De 20 a 24 años (013)",2408,,,,,4,1704,700
"De 25 a 29 años (014)",2401,,,,,70,1791,540
"De 30 a 34 años (015)",1908,,,,,198,1396,314
"De 35 a 39 años (016)",1745,,,,6,380,1077,282
"De 40 a 44 años (017)",1238,,,,44,422,550,222
"De 45 a 49 años (018)",866,,,1,89,420,224,132
"De 50 y más años (019)",1454,4,35,143,419,422,33,398
"Separado(a) (020)",893,1,12,45,92,206,323,214
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",58,,,,,,28,30
"De 20 a 24 años (023)",104,,,,,,65,39
"De 25 a 29 años (024)",114,,,,,7,77,30
"De 30 a 34 años (025)",103,,,,,14,67,22
"De 35 a 39 años (026)",123,,,,5,52,50,16
"De 40 a 44 años (027)",93,,,,4,40,27,22
"De 45 a 49 años (028)",83,,,1,15,46,5,16
"De 50 y más años (029)",214,1,12,44,68,47,4,38
"Casado(a) (030)",6675,14,94,396,916,1767,2221,1267
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",60,,,,,,37,23
"De 20 a 24 años (033)",228,,,,,,163,65
"De 25 a 29 años (034)",565,,,,,19,441,105
"De 30 a 34 años (035)",726,,,,,78,512,136
"De 35 a 39 años (036)",947,,,,8,263,545,131
"De 40 a 44 años (037)",930,,,,39,426,342,123
"De 45 a 49 años (038)",866,,,,131,455,155,125
"De 50 y más años (039)",2350,14,94,396,738,526,26,556
"Viudo(a) (040)",1493,51,161,266,270,179,92,474
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",4,,,,,,3,1
"De 20 a 24 años (043)",14,,,,,,8,6
"De 25 a 29 años (044)",20,,,,,1,11,8
"De 30 a 34 años (045)",35,,,,,6,17,12
"De 35 a 39 años (046)",47,,,,,10,19,18
"De 40 a 44 años (047)",71,,,1,2,29,22,17
