"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARAÑON (000)",6180,88,1992,2188,1531,381
"Agric., ganadería, caza y silvicultura (001)",4842,84,1607,1572,1247,332
"Pesca (002)",1,,,,1,
"Industrias manufactureras (004)",55,,13,20,17,5
"Suministro de electricidad, gas y agua (005)",9,,,7,2,
"Construcción (006)",84,1,29,34,19,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",172,1,45,73,38,15
"Venta, mant.y rep. veh.autom.y motoc. (008)",5,,2,2,1,
"Comercio al por mayor (009)",9,,1,5,1,2
"Comercio al por menor (010)",158,1,42,66,36,13
"Hoteles y restaurantes (011)",38,,17,10,9,2
"Trans., almac. y comunicaciones (012)",37,,12,18,6,1
"Intermediación financiera (013)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (014)",31,,7,19,5,
"Admin.pub. y defensa; p. segur.soc.afil (015)",117,,28,60,28,1
"Enseñanza (016)",409,,74,253,82,
"Servicios sociales y de salud (017)",67,,24,38,5,
"Otras activ. serv.comun.soc y personales (018)",9,,4,3,1,1
"Hogares privados con servicio doméstico (019)",87,1,60,14,7,5
"Actividad economica no especificada (021)",220,1,72,66,63,18
"Hombres (022)",5300,70,1681,1867,1349,333
"Agric., ganadería, caza y silvicultura (023)",4428,68,1455,1459,1150,296
"Pesca (024)",1,,,,1,
"Industrias manufactureras (026)",51,,10,19,17,5
"Suministro de electricidad, gas y agua (027)",9,,,7,2,
"Construcción (028)",84,1,29,34,19,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",108,,26,41,27,14
"Venta, mant.y rep. veh.autom.y motoc. (030)",4,,2,1,1,
"Comercio al por mayor (031)",6,,1,3,1,1
"Comercio al por menor (032)",98,,23,37,25,13
"Hoteles y restaurantes (033)",10,,5,2,3,
"Trans., almac. y comunicaciones (034)",36,,11,18,6,1
"Intermediación financiera (035)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (036)",28,,4,19,5,
"Admin.pub. y defensa; p. segur.soc.afil (037)",94,,22,46,25,1
"Enseñanza (038)",241,,40,146,55,
"Servicios sociales y de salud (039)",36,,13,22,1,
"Otras activ. serv.comun.soc y personales (040)",6,,3,1,1,1
"Hogares privados con servicio doméstico (041)",38,,24,11,2,1
"Actividad economica no especificada (043)",128,1,39,41,34,13
"Mujeres (045)",880,18,311,321,182,48
