"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANCHIS (000)",33550,27141,2250,2112,2047
"Hombres (001)",19808,15580,1469,1408,1351
"Mujeres (002)",13742,11561,781,704,696
"De 06 a 14 años (003)",821,777,39,4,1
"Hombres (004)",497,472,23,2,
"Mujeres (005)",324,305,16,2,1
"De 15 a 29 años (006)",8929,7235,723,440,531
"Hombres (007)",5158,4110,434,299,315
"Mujeres (008)",3771,3125,289,141,216
"De 30 a 44 años (009)",11918,8987,901,1091,939
"Hombres (010)",7026,5088,620,689,629
"Mujeres (011)",4892,3899,281,402,310
"De 45 a 64 años (012)",9128,7517,515,549,547
"Hombres (013)",5451,4329,348,391,383
"Mujeres (014)",3677,3188,167,158,164
"De 65 y más años (015)",2754,2625,72,28,29
"Hombres (016)",1676,1581,44,27,24
"Mujeres (017)",1078,1044,28,1,5
,,,,,
"URBANA (018)",20376,15172,1648,1797,1759
"Hombres (019)",11572,8299,1010,1146,1117
"Mujeres (020)",8804,6873,638,651,642
"De 06 a 14 años (021)",425,397,24,3,1
"Hombres (022)",264,248,15,1,
"Mujeres (023)",161,149,9,2,1
"De 15 a 29 años (024)",5771,4465,517,347,442
"Hombres (025)",3228,2458,297,225,248
"Mujeres (026)",2543,2007,220,122,194
"De 30 a 44 años (027)",7895,5445,680,950,820
"Hombres (028)",4461,2928,428,575,530
"Mujeres (029)",3434,2517,252,375,290
"De 45 a 64 años (030)",5211,3883,380,475,473
"Hombres (031)",3004,2117,243,324,320
"Mujeres (032)",2207,1766,137,151,153
"De 65 y más años (033)",1074,982,47,22,23
"Hombres (034)",615,548,27,21,19
"Mujeres (035)",459,434,20,1,4
,,,,,
"RURAL (036)",13174,11969,602,315,288
"Hombres (037)",8236,7281,459,262,234
"Mujeres (038)",4938,4688,143,53,54
"De 06 a 14 años (039)",396,380,15,1,
"Hombres (040)",233,224,8,1,
"Mujeres (041)",163,156,7,,
"De 15 a 29 años (042)",3158,2770,206,93,89
"Hombres (043)",1930,1652,137,74,67
"Mujeres (044)",1228,1118,69,19,22
"De 30 a 44 años (045)",4023,3542,221,141,119
"Hombres (046)",2565,2160,192,114,99
"Mujeres (047)",1458,1382,29,27,20
"De 45 a 64 años (048)",3917,3634,135,74,74
"Hombres (049)",2447,2212,105,67,63
"Mujeres (050)",1470,1422,30,7,11
"De 65 y más años (051)",1680,1643,25,6,6
"Hombres (052)",1061,1033,17,6,5
"Mujeres (053)",619,610,8,,1
