"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAUCARTAMBO (000)",15491,14021,632,209,629
"Hombres (001)",10432,9294,507,167,464
"Mujeres (002)",5059,4727,125,42,165
"De 06 a 14 años (003)",455,441,12,2,
"Hombres (004)",257,246,9,2,
"Mujeres (005)",198,195,3,,
"De 15 a 29 años (006)",5248,4760,228,65,195
"Hombres (007)",3473,3115,178,53,127
"Mujeres (008)",1775,1645,50,12,68
"De 30 a 44 años (009)",5320,4702,235,99,284
"Hombres (010)",3656,3182,194,72,208
"Mujeres (011)",1664,1520,41,27,76
"De 45 a 64 años (012)",3517,3208,136,38,135
"Hombres (013)",2397,2135,112,36,114
"Mujeres (014)",1120,1073,24,2,21
"De 65 y más años (015)",951,910,21,5,15
"Hombres (016)",649,616,14,4,15
"Mujeres (017)",302,294,7,1,
,,,,,
"URBANA (018)",2938,2137,197,113,491
"Hombres (019)",1847,1279,138,87,343
"Mujeres (020)",1091,858,59,26,148
"De 06 a 14 años (021)",82,82,,,
"Hombres (022)",45,45,,,
"Mujeres (023)",37,37,,,
"De 15 a 29 años (024)",913,661,67,39,146
"Hombres (025)",543,385,42,32,84
"Mujeres (026)",370,276,25,7,62
"De 30 a 44 años (027)",1128,782,76,50,220
"Hombres (028)",728,484,57,34,153
"Mujeres (029)",400,298,19,16,67
"De 45 a 64 años (030)",656,477,46,22,111
"Hombres (031)",427,282,33,20,92
"Mujeres (032)",229,195,13,2,19
"De 65 y más años (033)",159,135,8,2,14
"Hombres (034)",104,83,6,1,14
"Mujeres (035)",55,52,2,1,
,,,,,
"RURAL (036)",12553,11884,435,96,138
"Hombres (037)",8585,8015,369,80,121
"Mujeres (038)",3968,3869,66,16,17
"De 06 a 14 años (039)",373,359,12,2,
"Hombres (040)",212,201,9,2,
"Mujeres (041)",161,158,3,,
"De 15 a 29 años (042)",4335,4099,161,26,49
"Hombres (043)",2930,2730,136,21,43
"Mujeres (044)",1405,1369,25,5,6
"De 30 a 44 años (045)",4192,3920,159,49,64
"Hombres (046)",2928,2698,137,38,55
"Mujeres (047)",1264,1222,22,11,9
"De 45 a 64 años (048)",2861,2731,90,16,24
"Hombres (049)",1970,1853,79,16,22
"Mujeres (050)",891,878,11,,2
"De 65 y más años (051)",792,775,13,3,1
"Hombres (052)",545,533,8,3,1
"Mujeres (053)",247,242,5,,
