"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PALPA (000)",5170,3257,853,543,517
"Hombres (001)",3444,2236,572,345,291
"Mujeres (002)",1726,1021,281,198,226
"De 06 a 14 años (003)",89,47,22,20,
"Hombres (004)",61,32,16,13,
"Mujeres (005)",28,15,6,7,
"De 15 a 29 años (006)",1589,919,318,191,161
"Hombres (007)",1080,627,222,132,99
"Mujeres (008)",509,292,96,59,62
"De 30 a 44 años (009)",1798,1084,300,209,205
"Hombres (010)",1125,716,185,125,99
"Mujeres (011)",673,368,115,84,106
"De 45 a 64 años (012)",1378,934,186,117,141
"Hombres (013)",933,650,128,70,85
"Mujeres (014)",445,284,58,47,56
"De 65 y más años (015)",316,273,27,6,10
"Hombres (016)",245,211,21,5,8
"Mujeres (017)",71,62,6,1,2
,,,,,
"URBANA (018)",3374,2030,495,385,464
"Hombres (019)",2103,1295,315,239,254
"Mujeres (020)",1271,735,180,146,210
"De 06 a 14 años (021)",73,40,18,15,
"Hombres (022)",48,25,13,10,
"Mujeres (023)",25,15,5,5,
"De 15 a 29 años (024)",1030,572,182,133,143
"Hombres (025)",650,357,120,88,85
"Mujeres (026)",380,215,62,45,58
"De 30 a 44 años (027)",1202,701,166,150,185
"Hombres (028)",709,440,95,86,88
"Mujeres (029)",493,261,71,64,97
"De 45 a 64 años (030)",884,560,114,83,127
"Hombres (031)",557,356,75,52,74
"Mujeres (032)",327,204,39,31,53
"De 65 y más años (033)",185,157,15,4,9
"Hombres (034)",139,117,12,3,7
"Mujeres (035)",46,40,3,1,2
,,,,,
"RURAL (036)",1796,1227,358,158,53
"Hombres (037)",1341,941,257,106,37
"Mujeres (038)",455,286,101,52,16
"De 06 a 14 años (039)",16,7,4,5,
"Hombres (040)",13,7,3,3,
"Mujeres (041)",3,,1,2,
"De 15 a 29 años (042)",559,347,136,58,18
"Hombres (043)",430,270,102,44,14
"Mujeres (044)",129,77,34,14,4
"De 30 a 44 años (045)",596,383,134,59,20
"Hombres (046)",416,276,90,39,11
"Mujeres (047)",180,107,44,20,9
"De 45 a 64 años (048)",494,374,72,34,14
"Hombres (049)",376,294,53,18,11
"Mujeres (050)",118,80,19,16,3
"De 65 y más años (051)",131,116,12,2,1
"Hombres (052)",106,94,9,2,1
"Mujeres (053)",25,22,3,,
