"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHANCHAMAYO (000)",166385,94150,72235
"Casa independiente (001)",130139,82738,47401
"Departamento en edificio (002)",1863,1863,
"Vivienda en quinta (003)",3729,3729,
"Vivienda en casa de vecindad (004)",4124,4124,
"Choza o cabaña (005)",24752,,24752
"Vivienda improvisada (006)",1321,1321,
"Local no dest.para hab. humana (007)",374,311,63
"Otro tipo (008)",83,64,19
