"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia LA MAR (000)",19802,48,214,660,1623,3372,8716,5169
"De 12 a 14 años (001)",42,,,,,,5,37
"De 15 a 19 años (002)",1026,,,,,,638,388
"De 20 a 24 años (003)",2310,,,,,6,1450,854
"De 25 a 29 años (004)",2582,,,,,97,1791,694
"De 30 a 34 años (005)",2487,,,,,307,1701,479
"De 35 a 39 años (006)",2408,,,,12,517,1467,412
"De 40 a 44 años (007)",2082,,,,56,619,1038,369
"De 45 a 49 años (008)",1715,,,1,131,756,526,301
"De 50 y más años (009)",5150,48,214,659,1424,1070,100,1635
"PEA (010)",6255,4,34,127,503,1265,2642,1680
"De 12 a 14 años (011)",8,,,,,,,8
"De 15 a 19 años (012)",245,,,,,,154,91
"De 20 a 24 años (013)",720,,,,,3,428,289
"De 25 a 29 años (014)",854,,,,,33,551,270
"De 30 a 34 años (015)",865,,,,,133,513,219
"De 35 a 39 años (016)",902,,,,4,222,500,176
"De 40 a 44 años (017)",747,,,,28,257,316,146
"De 45 a 49 años (018)",625,,,1,63,296,148,117
"De 50 y más años (019)",1289,4,34,126,408,321,32,364
"Ocupada (020)",6033,3,33,125,497,1234,2533,1608
"De 12 a 14 años (021)",7,,,,,,,7
"De 15 a 19 años (022)",232,,,,,,149,83
"De 20 a 24 años (023)",682,,,,,3,407,272
"De 25 a 29 años (024)",815,,,,,31,520,264
"De 30 a 34 años (025)",825,,,,,127,485,213
"De 35 a 39 años (026)",876,,,,4,220,487,165
"De 40 a 44 años (027)",724,,,,28,251,307,138
"De 45 a 49 años (028)",607,,,1,63,282,146,115
"De 50 y más años (029)",1265,3,33,124,402,320,32,351
"Desocupada (030)",222,1,1,2,6,31,109,72
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",13,,,,,,5,8
"De 20 a 24 años (033)",38,,,,,,21,17
"De 25 a 29 años (034)",39,,,,,2,31,6
"De 30 a 34 años (035)",40,,,,,6,28,6
"De 35 a 39 años (036)",26,,,,,2,13,11
"De 40 a 44 años (037)",23,,,,,6,9,8
"De 45 a 49 años (038)",18,,,,,14,2,2
"De 50 y más años (039)",24,1,1,2,6,1,,13
"No PEA (040)",13547,44,180,533,1120,2107,6074,3489
"De 12 a 14 años (041)",34,,,,,,5,29
"De 15 a 19 años (042)",781,,,,,,484,297
"De 20 a 24 años (043)",1590,,,,,3,1022,565
"De 25 a 29 años (044)",1728,,,,,64,1240,424
"De 30 a 34 años (045)",1622,,,,,174,1188,260
"De 35 a 39 años (046)",1506,,,,8,295,967,236
