"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia BOLOGNESI (000)",11461,49,801,290,327,1011,2625,747,896,3510,42,644,519
"Agric., ganadería, caza y silvicultura (001)",4702,,5,5,,,2625,,3,2064,,,
"Pesca (002)",2,,1,,,,,,,1,,,
"Explotación de minas y canteras (003)",687,,68,45,28,,,285,26,235,,,
"Industrias manufactureras (004)",364,,8,7,1,6,,292,44,6,,,
"Suministro de electricidad, gas y agua (005)",30,,1,2,1,,,14,2,10,,,
"Construcción (006)",824,1,29,27,14,,,34,375,344,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1051,,4,27,5,708,,113,10,184,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",101,,1,8,2,8,,71,9,2,,,
"Comercio al por mayor (009)",74,,1,2,,69,,,,2,,,
"Comercio al por menor (010)",876,,2,17,3,631,,42,1,180,,,
"Hoteles y restaurantes (011)",371,,3,15,11,219,,2,,121,,,
"Trans., almac. y comunicaciones (012)",517,1,6,6,19,4,,,400,81,,,
"Intermediación financiera (013)",4,,1,1,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",310,,58,54,53,43,,,19,83,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",346,39,25,16,151,3,,1,8,61,42,,
"Enseñanza (016)",552,8,516,1,20,,,,1,6,,,
"Servicios sociales y de salud (017)",115,,50,43,6,4,,1,2,9,,,
"Otras activ. serv.comun.soc y personales (018)",274,,26,38,15,24,,5,6,160,,,
"Hogares privados con servicio doméstico (019)",142,,,,,,,,,142,,,
"Actividad economica no especificada (021)",651,,,3,1,,,,,3,,644,
"Desocupado (022)",519,,,,,,,,,,,,519
"Hombres (023)",8288,36,476,207,196,402,2164,690,888,2407,42,421,359
"Agric., ganadería, caza y silvicultura (024)",3584,,4,4,,,2164,,3,1409,,,
"Pesca (025)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (026)",673,,62,43,26,,,283,26,233,,,
"Industrias manufactureras (027)",300,,5,5,1,1,,240,42,6,,,
"Suministro de electricidad, gas y agua (028)",28,,1,2,1,,,14,2,8,,,
"Construcción (029)",806,1,28,27,14,,,34,372,330,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",509,,1,19,3,275,,112,10,89,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",97,,,8,2,6,,70,9,2,,,
"Comercio al por mayor (032)",43,,,1,,40,,,,2,,,
"Comercio al por menor (033)",369,,1,10,1,229,,42,1,85,,,
"Hoteles y restaurantes (034)",123,,3,5,7,70,,1,,37,,,
"Trans., almac. y comunicaciones (035)",496,1,6,4,14,4,,,397,70,,,
"Intermediación financiera (036)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",257,,49,45,28,42,,,19,74,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",244,29,17,10,83,2,,,8,53,42,,
"Enseñanza (039)",281,5,257,1,12,,,,1,5,,,
"Servicios sociales y de salud (040)",38,,23,8,2,1,,1,2,1,,,
"Otras activ. serv.comun.soc y personales (041)",153,,20,31,4,7,,5,6,80,,,
"Hogares privados con servicio doméstico (042)",10,,,,,,,,,10,,,
"Actividad economica no especificada (044)",425,,,2,1,,,,,1,,421,
"Desocupado (045)",359,,,,,,,,,,,,359
"Mujeres (046)",3173,13,325,83,131,609,461,57,8,1103,,223,160
"Agric., ganadería, caza y silvicultura (047)",1118,,1,1,,,461,,,655,,,
"Pesca (048)",1,,1,,,,,,,,,,
"Explotación de minas y canteras (049)",14,,6,2,2,,,2,,2,,,
"Industrias manufactureras (050)",64,,3,2,,5,,52,2,,,,
"Suministro de electricidad, gas y agua (051)",2,,,,,,,,,2,,,
"Construcción (052)",18,,1,,,,,,3,14,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",542,,3,8,2,433,,1,,95,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",4,,1,,,2,,1,,,,,
"Comercio al por mayor (055)",31,,1,1,,29,,,,,,,
"Comercio al por menor (056)",507,,1,7,2,402,,,,95,,,
"Hoteles y restaurantes (057)",248,,,10,4,149,,1,,84,,,
"Trans., almac. y comunicaciones (058)",21,,,2,5,,,,3,11,,,
"Intermediación financiera (059)",3,,1,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",53,,9,9,25,1,,,,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",102,10,8,6,68,1,,1,,8,,,
"Enseñanza (062)",271,3,259,,8,,,,,1,,,
"Servicios sociales y de salud (063)",77,,27,35,4,3,,,,8,,,
"Otras activ. serv.comun.soc y personales (064)",121,,6,7,11,17,,,,80,,,
"Hogares privados con servicio doméstico (065)",132,,,,,,,,,132,,,
"Actividad economica no especificada (067)",226,,,1,,,,,,2,,223,
"Desocupado (068)",160,,,,,,,,,,,,160
,,,,,,,,,,,,,
"URBANA (069)",6979,39,620,207,265,814,1220,426,664,2013,34,291,386
"Agric., ganadería, caza y silvicultura (070)",2192,,3,3,,,1220,,2,964,,,
"Pesca (071)",2,,1,,,,,,,1,,,
"Explotación de minas y canteras (072)",152,,9,1,9,,,55,8,70,,,
"Industrias manufactureras (073)",282,,6,5,1,4,,247,14,5,,,
"Suministro de electricidad, gas y agua (074)",19,,1,2,1,,,12,1,2,,,
"Construcción (075)",673,1,25,25,11,,,25,310,276,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",887,,4,21,5,601,,79,10,167,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",72,,1,6,2,6,,48,9,,,,
"Comercio al por mayor (078)",57,,1,2,,52,,,,2,,,
"Comercio al por menor (079)",758,,2,13,3,543,,31,1,165,,,
"Hoteles y restaurantes (080)",286,,2,12,9,159,,2,,102,,,
"Trans., almac. y comunicaciones (081)",393,1,4,5,11,3,,,295,74,,,
"Intermediación financiera (082)",3,,,1,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",188,,35,40,41,20,,,10,42,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",292,29,21,15,139,2,,1,8,43,34,,
"Enseñanza (085)",485,8,454,1,17,,,,,5,,,
"Servicios sociales y de salud (086)",99,,41,38,6,3,,1,2,8,,,
"Otras activ. serv.comun.soc y personales (087)",227,,14,37,13,22,,4,4,133,,,
"Hogares privados con servicio doméstico (088)",121,,,,,,,,,121,,,
"Actividad economica no especificada (090)",292,,,1,,,,,,,,291,
"Desocupado (091)",386,,,,,,,,,,,,386
"Hombres (092)",4810,29,348,137,151,312,1005,377,658,1347,34,139,273
"Agric., ganadería, caza y silvicultura (093)",1704,,2,3,,,1005,,2,692,,,
"Pesca (094)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (095)",149,,9,1,9,,,53,8,69,,,
"Industrias manufactureras (096)",227,,3,3,1,,,202,13,5,,,
"Suministro de electricidad, gas y agua (097)",19,,1,2,1,,,12,1,2,,,
"Construcción (098)",662,1,24,25,11,,,25,307,269,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",419,,1,15,3,234,,79,10,77,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",69,,,6,2,4,,48,9,,,,
"Comercio al por mayor (101)",34,,,1,,31,,,,2,,,
"Comercio al por menor (102)",316,,1,8,1,199,,31,1,75,,,
"Hoteles y restaurantes (103)",89,,2,4,6,48,,1,,28,,,
"Trans., almac. y comunicaciones (104)",373,1,4,3,6,3,,,293,63,,,
"Intermediación financiera (105)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",147,,31,31,22,19,,,10,34,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",202,22,14,10,76,1,,,8,37,34,,
"Enseñanza (108)",249,5,229,1,10,,,,,4,,,
"Servicios sociales y de salud (109)",31,,19,7,2,,,1,2,,,,
"Otras activ. serv.comun.soc y personales (110)",117,,9,30,4,7,,4,4,59,,,
"Hogares privados con servicio doméstico (111)",7,,,,,,,,,7,,,
"Actividad economica no especificada (113)",140,,,1,,,,,,,,139,
"Desocupado (114)",273,,,,,,,,,,,,273
"Mujeres (115)",2169,10,272,70,114,502,215,49,6,666,,152,113
"Agric., ganadería, caza y silvicultura (116)",488,,1,,,,215,,,272,,,
"Pesca (117)",1,,1,,,,,,,,,,
"Explotación de minas y canteras (118)",3,,,,,,,2,,1,,,
"Industrias manufactureras (119)",55,,3,2,,4,,45,1,,,,
"Construcción (121)",11,,1,,,,,,3,7,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",468,,3,6,2,367,,,,90,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",3,,1,,,2,,,,,,,
"Comercio al por mayor (124)",23,,1,1,,21,,,,,,,
"Comercio al por menor (125)",442,,1,5,2,344,,,,90,,,
"Hoteles y restaurantes (126)",197,,,8,3,111,,1,,74,,,
"Trans., almac. y comunicaciones (127)",20,,,2,5,,,,2,11,,,
"Intermediación financiera (128)",2,,,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",41,,4,9,19,1,,,,8,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",90,7,7,5,63,1,,1,,6,,,
"Enseñanza (131)",236,3,225,,7,,,,,1,,,
"Servicios sociales y de salud (132)",68,,22,31,4,3,,,,8,,,
"Otras activ. serv.comun.soc y personales (133)",110,,5,7,9,15,,,,74,,,
"Hogares privados con servicio doméstico (134)",114,,,,,,,,,114,,,
"Actividad economica no especificada (136)",152,,,,,,,,,,,152,
"Desocupado (137)",113,,,,,,,,,,,,113
,,,,,,,,,,,,,
"RURAL (138)",4482,10,181,83,62,197,1405,321,232,1497,8,353,133
"Agric., ganadería, caza y silvicultura (139)",2510,,2,2,,,1405,,1,1100,,,
"Explotación de minas y canteras (141)",535,,59,44,19,,,230,18,165,,,
"Industrias manufactureras (142)",82,,2,2,,2,,45,30,1,,,
"Suministro de electricidad, gas y agua (143)",11,,,,,,,2,1,8,,,
"Construcción (144)",151,,4,2,3,,,9,65,68,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",164,,,6,,107,,34,,17,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",29,,,2,,2,,23,,2,,,
"Comercio al por mayor (147)",17,,,,,17,,,,,,,
