"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ANTA (000)",51955,2403,6518,7890,5623,7074,6561,11377,4509
"Sin nivel (001)",9319,2403,513,74,51,235,566,2735,2742
"Educación inicial (002)",1467,,1413,20,11,12,11,,
"Primaria (003)",21476,,4592,5376,713,1596,2654,5124,1421
"Secundaria (004)",15848,,,2420,4437,3533,2511,2689,258
"Superior no univ. incompleto (005)",1299,,,,264,620,212,191,12
"Superior no univ. completo (006)",983,,,,,513,270,179,21
"Superior univ. incompleto (007)",813,,,,147,373,119,165,9
"Superior univ. completo (008)",750,,,,,192,218,294,46
"Hombres (010)",26158,1255,3363,4138,3012,3510,3157,5659,2064
"Sin nivel (011)",3203,1255,260,50,21,82,144,622,769
"Educación inicial (012)",778,,761,10,4,,3,,
"Primaria (013)",10866,,2342,2814,366,622,1080,2619,1023
"Secundaria (014)",9151,,,1264,2434,1916,1470,1864,203
"Superior no univ. incompleto (015)",710,,,,126,321,129,125,9
"Superior no univ. completo (016)",526,,,,,251,146,115,14
"Superior univ. incompleto (017)",473,,,,61,222,67,115,8
"Superior univ. completo (018)",451,,,,,96,118,199,38
"Mujeres (020)",25797,1148,3155,3752,2611,3564,3404,5718,2445
"Sin nivel (021)",6116,1148,253,24,30,153,422,2113,1973
"Educación inicial (022)",689,,652,10,7,12,8,,
"Primaria (023)",10610,,2250,2562,347,974,1574,2505,398
"Secundaria (024)",6697,,,1156,2003,1617,1041,825,55
"Superior no univ. incompleto (025)",589,,,,138,299,83,66,3
"Superior no univ. completo (026)",457,,,,,262,124,64,7
"Superior univ. incompleto (027)",340,,,,86,151,52,50,1
"Superior univ. completo (028)",299,,,,,96,100,95,8
,,,,,,,,,
"URBANA (030)",18382,814,2185,2764,2016,2668,2475,3915,1545
"Sin nivel (031)",2472,814,149,33,13,47,123,574,719
"Educación inicial (032)",528,,499,12,8,4,5,,
"Primaria (033)",6645,,1537,1770,193,325,656,1513,651
"Secundaria (034)",6229,,,949,1563,1272,1095,1228,122
"Superior no univ. incompleto (035)",761,,,,133,322,153,147,6
"Superior no univ. completo (036)",663,,,,,332,187,130,14
