"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAUYOS (000)",9441,9164,2294,1026,1074,994,1608,1098,658,412,277,30527
"De 12 a 14 años (001)",800,799,796,2,1,,,,,,1,4
"De 15 a 19 años (002)",852,843,716,107,18,2,,,,,9,149
"De 20 a 24 años (003)",772,707,269,252,136,35,15,,,,65,690
"De 25 a 29 años (004)",810,740,136,196,204,120,72,10,2,,70,1352
"De 30 a 34 años (005)",812,771,72,117,177,175,176,48,5,1,41,2113
"De 35 a 39 años (006)",795,766,53,87,144,141,214,96,28,3,29,2612
"De 40 a 44 años (007)",722,700,42,52,91,119,201,117,57,21,22,2944
"De 45 a 49 años (008)",610,600,28,37,56,91,153,131,71,33,10,2928
"De 50 y más años (009)",3268,3238,182,176,247,311,777,696,495,354,30,17735
"Conviviente (010)",2287,2250,160,421,434,366,460,234,121,54,37,7520
"De 12 a 14 años (011)",4,3,2,1,,,,,,,1,1
"De 15 a 19 años (012)",111,106,36,56,12,2,,,,,5,86
"De 20 a 24 años (013)",333,320,36,149,97,27,11,,,,13,468
"De 25 a 29 años (014)",392,384,26,96,119,89,48,6,,,8,845
"De 30 a 34 años (015)",369,365,15,46,73,110,95,23,3,,4,1103
"De 35 a 39 años (016)",318,315,9,26,61,51,105,48,12,3,3,1191
"De 40 a 44 años (017)",242,240,12,16,24,39,68,47,26,8,2,1081
"De 45 a 49 años (018)",168,168,5,11,16,20,44,38,24,10,,860
"De 50 y más años (019)",350,349,19,20,32,28,89,72,56,33,1,1885
"Separado(a) (020)",355,350,5,82,68,44,67,51,19,14,5,1283
"De 15 a 19 años (022)",10,9,,8,1,,,,,,1,10
"De 20 a 24 años (023)",31,30,,16,13,,1,,,,1,46
"De 25 a 29 años (024)",32,32,,11,13,5,2,,1,,,69
