"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CONDESUYOS (000)",8365,25,460,256,201,613,1535,2632,375,2098,37,133
"Agric., ganadería, caza y silvicultura (001)",2699,,2,11,1,,1487,4,3,1191,,
"Pesca (002)",135,,,,,,48,,,87,,
"Explotación de minas y canteras (003)",3230,1,79,132,48,45,,2450,95,380,,
"Industrias manufactureras (004)",151,,2,5,,,,128,12,4,,
"Suministro de electricidad, gas y agua (005)",6,,,,,,,4,1,1,,
"Construcción (006)",268,,5,4,6,,,12,149,92,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",490,,1,9,1,396,,21,2,60,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,,2,,5,,9,,1,,
"Comercio al por mayor (009)",22,,,1,,21,,,,,,
"Comercio al por menor (010)",451,,1,6,1,370,,12,2,59,,
"Hoteles y restaurantes (011)",199,,2,7,5,123,,,,62,,
"Trans., almac. y comunicaciones (012)",154,,,3,11,,,6,102,32,,
"Intermediación financiera (013)",3,,,,2,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",91,,8,16,15,30,,4,2,16,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",215,17,11,25,86,1,,3,8,27,37,
"Enseñanza (016)",340,7,314,1,11,,,,,7,,
