"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia LUCANAS (000)",65414,64472,568,374
"Hombres (001)",33680,33263,212,205
"Mujeres (002)",31734,31209,356,169
"Menores de 1 año (003)",1093,931,99,63
"Hombres (004)",555,467,56,32
"Mujeres (005)",538,464,43,31
"De 1 a 5 años (006)",6717,6250,178,289
"Hombres (007)",3536,3278,90,168
"Mujeres (008)",3181,2972,88,121
"De 6 a 14 años (009)",13035,13015,13,7
"Hombres (010)",6740,6732,5,3
"Mujeres (011)",6295,6283,8,4
"De 15 a 29 años (012)",15272,15266,5,1
"Hombres (013)",7972,7968,3,1
"Mujeres (014)",7300,7298,2,
"De 30 a 44 años (015)",11896,11883,12,1
"Hombres (016)",6215,6210,5,
"Mujeres (017)",5681,5673,7,1
"De 45 a 64 años (018)",10372,10328,43,1
"Hombres (019)",5350,5339,11,
"Mujeres (020)",5022,4989,32,1
"De 65 a más años (021)",7029,6799,218,12
"Hombres (022)",3312,3269,42,1
"Mujeres (023)",3717,3530,176,11
,,,,
"URBANA (024)",38396,37972,240,184
"Hombres (025)",19136,18946,87,103
"Mujeres (026)",19260,19026,153,81
"Menores de 1 año (027)",638,551,54,33
"Hombres (028)",327,281,29,17
"Mujeres (029)",311,270,25,16
"De 1 a 5 años (030)",3655,3433,81,141
"Hombres (031)",1910,1783,42,85
"Mujeres (032)",1745,1650,39,56
"De 6 a 14 años (033)",7761,7756,3,2
"Hombres (034)",3991,3989,1,1
"Mujeres (035)",3770,3767,2,1
"De 15 a 29 años (036)",9120,9118,2,
"Hombres (037)",4567,4566,1,
"Mujeres (038)",4553,4552,1,
"De 30 a 44 años (039)",7178,7174,3,1
"Hombres (040)",3536,3535,1,
"Mujeres (041)",3642,3639,2,1
"De 45 a 64 años (042)",5961,5951,10,
"Hombres (043)",2985,2983,2,
"Mujeres (044)",2976,2968,8,
"De 65 a más años (045)",4083,3989,87,7
"Hombres (046)",1820,1809,11,
"Mujeres (047)",2263,2180,76,7
,,,,
"RURAL (048)",27018,26500,328,190
"Hombres (049)",14544,14317,125,102
"Mujeres (050)",12474,12183,203,88
"Menores de 1 año (051)",455,380,45,30
"Hombres (052)",228,186,27,15
"Mujeres (053)",227,194,18,15
"De 1 a 5 años (054)",3062,2817,97,148
"Hombres (055)",1626,1495,48,83
"Mujeres (056)",1436,1322,49,65
"De 6 a 14 años (057)",5274,5259,10,5
"Hombres (058)",2749,2743,4,2
"Mujeres (059)",2525,2516,6,3
"De 15 a 29 años (060)",6152,6148,3,1
"Hombres (061)",3405,3402,2,1
"Mujeres (062)",2747,2746,1,
"De 30 a 44 años (063)",4718,4709,9,
"Hombres (064)",2679,2675,4,
"Mujeres (065)",2039,2034,5,
"De 45 a 64 años (066)",4411,4377,33,1
"Hombres (067)",2365,2356,9,
"Mujeres (068)",2046,2021,24,1
"De 65 a más años (069)",2946,2810,131,5
"Hombres (070)",1492,1460,31,1
"Mujeres (071)",1454,1350,100,4
