"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",49116,3463,6839,7044,6293,9248,6319,8197,1713
"Sin nivel (001)",7488,3463,1066,114,134,329,439,1286,657
"Educación inicial (002)",1293,,1249,13,7,16,8,,
"Primaria (003)",24976,,4524,5618,2682,3847,2900,4488,917
"Secundaria (004)",12555,,,1299,3381,4074,2090,1606,105
"Superior no univ. incompleto (005)",715,,,,64,357,173,113,8
"Superior no univ. completo (006)",675,,,,,240,250,177,8
"Superior univ. incompleto (007)",525,,,,25,185,142,170,3
"Superior univ. completo (008)",889,,,,,200,317,357,15
"Hombres (010)",26427,1759,3479,3654,3365,4988,3475,4713,994
"Sin nivel (011)",3437,1759,560,63,63,141,167,441,243
"Educación inicial (012)",645,,623,3,5,10,4,,
"Primaria (013)",13072,,2296,2937,1349,1857,1425,2561,647
"Secundaria (014)",7493,,,651,1900,2400,1329,1133,80
"Superior no univ. incompleto (015)",459,,,,35,223,111,84,6
"Superior no univ. completo (016)",420,,,,,145,151,120,4
"Superior univ. incompleto (017)",339,,,,13,103,87,134,2
"Superior univ. completo (018)",562,,,,,109,201,240,12
"Mujeres (020)",22689,1704,3360,3390,2928,4260,2844,3484,719
"Sin nivel (021)",4051,1704,506,51,71,188,272,845,414
"Educación inicial (022)",648,,626,10,2,6,4,,
"Primaria (023)",11904,,2228,2681,1333,1990,1475,1927,270
"Secundaria (024)",5062,,,648,1481,1674,761,473,25
"Superior no univ. incompleto (025)",256,,,,29,134,62,29,2
"Superior no univ. completo (026)",255,,,,,95,99,57,4
"Superior univ. incompleto (027)",186,,,,12,82,55,36,1
"Superior univ. completo (028)",327,,,,,91,116,117,3
,,,,,,,,,
"URBANA (030)",15024,970,1890,2073,2039,2894,2170,2522,466
"Sin nivel (031)",1578,970,189,24,19,40,55,169,112
"Educación inicial (032)",439,,425,4,2,4,4,,
"Primaria (033)",5602,,1276,1364,419,579,609,1063,292
"Secundaria (034)",5564,,,681,1535,1633,921,753,41
"Superior no univ. incompleto (035)",464,,,,48,231,107,76,2
