"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CUSCO (000)",154514,2412,53225,58106,35534,5237
"Agric., ganadería, caza y silvicultura (001)",6172,180,1332,1893,1890,877
"Pesca (002)",7,,2,2,3,
"Explotación de minas y canteras (003)",317,1,100,133,76,7
"Industrias manufactureras (004)",13044,252,5103,4593,2557,539
"Suministro de electricidad, gas y agua (005)",423,1,100,146,160,16
"Construcción (006)",11494,77,3558,4596,2910,353
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",36973,754,12082,13487,8959,1691
"Venta, mant.y rep. veh.autom.y motoc. (008)",3280,66,1347,1169,609,89
"Comercio al por mayor (009)",1841,15,758,670,359,39
"Comercio al por menor (010)",31852,673,9977,11648,7991,1563
"Hoteles y restaurantes (011)",13248,276,5859,4107,2606,400
"Trans., almac. y comunicaciones (012)",17616,171,7489,6667,3040,249
"Intermediación financiera (013)",1220,,442,549,220,9
"Activid.inmobil., empres. y alquileres (014)",11434,20,3824,4726,2652,212
"Admin.pub. y defensa; p. segur.soc.afil (015)",7148,,1523,3446,2098,81
"Enseñanza (016)",13248,1,2620,6300,4075,252
"Servicios sociales y de salud (017)",5071,,1386,2261,1366,58
"Otras activ. serv.comun.soc y personales (018)",6423,153,2363,2481,1231,195
"Hogares privados con servicio doméstico (019)",5005,487,3243,768,419,88
"Organiz. y organos extraterritoriales (020)",4,,,2,2,
"Actividad economica no especificada (021)",5667,39,2199,1949,1270,210
"Hombres (022)",85755,1277,28888,32028,20340,3222
"Agric., ganadería, caza y silvicultura (023)",4594,127,982,1452,1404,629
"Pesca (024)",5,,1,2,2,
"Explotación de minas y canteras (025)",286,1,92,117,69,7
"Industrias manufactureras (026)",8722,195,3523,2889,1701,414
"Suministro de electricidad, gas y agua (027)",363,1,79,127,141,15
"Construcción (028)",11099,73,3398,4435,2841,352
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14771,407,5252,5091,3343,678
"Venta, mant.y rep. veh.autom.y motoc. (030)",2969,57,1230,1029,565,88
"Comercio al por mayor (031)",1078,12,448,393,204,21
"Comercio al por menor (032)",10724,338,3574,3669,2574,569
"Hoteles y restaurantes (033)",4941,125,2738,1268,694,116
"Trans., almac. y comunicaciones (034)",14001,127,5511,5459,2675,229
"Intermediación financiera (035)",608,,185,271,145,7
"Activid.inmobil., empres. y alquileres (036)",7254,13,2306,2859,1886,190
