"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SIHUAS (000)",431,6,201,116,83,25
"Conviviente (001)",95,,41,39,13,2
"Separado(a) (002)",11,,5,2,4,
"Casado(a) (003)",121,,8,45,51,17
"Viudo(a) (004)",11,,,2,6,3
"Divorciado(a) (005)",1,,1,,,
"Soltero(a) (006)",192,6,146,28,9,3
"Hombres (008)",346,2,155,94,73,22
"Conviviente (009)",84,,35,34,13,2
"Separado(a) (010)",4,,1,1,2,
"Casado(a) (011)",108,,7,37,47,17
"Viudo(a) (012)",5,,,1,3,1
"Soltero(a) (014)",145,2,112,21,8,2
"Mujeres (016)",85,4,46,22,10,3
"Conviviente (017)",11,,6,5,,
"Separado(a) (018)",7,,4,1,2,
"Casado(a) (019)",13,,1,8,4,
"Viudo(a) (020)",6,,,1,3,2
"Divorciado(a) (021)",1,,1,,,
"Soltero(a) (022)",47,4,34,7,1,1
,,,,,,
"AREA URBANA (024)",182,2,86,63,20,11
"Conviviente (025)",47,,18,24,3,2
"Separado(a) (026)",4,,,2,2,
"Casado(a) (027)",44,,2,22,14,6
"Viudo(a) (028)",1,,,,,1
"Divorciado(a) (029)",1,,1,,,
"Soltero(a) (030)",85,2,65,15,1,2
"Hombres (032)",143,2,65,49,17,10
"Conviviente (033)",39,,14,20,3,2
"Separado(a) (034)",2,,,1,1,
"Casado(a) (035)",36,,2,16,12,6
"Viudo(a) (036)",1,,,,,1
"Soltero(a) (038)",65,2,49,12,1,1
"Mujeres (040)",39,,21,14,3,1
"Conviviente (041)",8,,4,4,,
"Separado(a) (042)",2,,,1,1,
"Casado(a) (043)",8,,,6,2,
"Divorciado(a) (045)",1,,1,,,
"Soltero(a) (046)",20,,16,3,,1
,,,,,,
"AREA RURAL (048)",249,4,115,53,63,14
"Conviviente (049)",48,,23,15,10,
"Separado(a) (050)",7,,5,,2,
"Casado(a) (051)",77,,6,23,37,11
"Viudo(a) (052)",10,,,2,6,2
"Soltero(a) (054)",107,4,81,13,8,1
"Hombres (056)",203,,90,45,56,12
"Conviviente (057)",45,,21,14,10,
"Separado(a) (058)",2,,1,,1,
"Casado(a) (059)",72,,5,21,35,11
"Viudo(a) (060)",4,,,1,3,
"Soltero(a) (062)",80,,63,9,7,1
"Mujeres (064)",46,4,25,8,7,2
"Conviviente (065)",3,,2,1,,
"Separado(a) (066)",5,,4,,1,
"Casado(a) (067)",5,,1,2,2,
"Viudo(a) (068)",6,,,1,3,2
"Soltero(a) (070)",27,4,18,4,1,
