"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SULLANA (000)",79523,587,1999,4897,8518,15566,26871,21085
"De 12 a 14 años (001)",108,,,,,,7,101
"De 15 a 19 años (002)",2034,,,,,,1115,919
"De 20 a 24 años (003)",8427,,,,,14,4660,3753
"De 25 a 29 años (004)",10780,,,,,406,6694,3680
"De 30 a 34 años (005)",10774,,,,2,1528,6573,2671
"De 35 a 39 años (006)",9683,,,,78,2984,4640,1981
"De 40 a 44 años (007)",8361,,,,497,3915,2338,1611
"De 45 a 49 años (008)",7237,,,38,1400,3714,743,1342
"De 50 y más años (009)",22119,587,1999,4859,6541,3005,101,5027
"Sin nivel (010)",8996,219,683,1432,1555,1608,1152,2347
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",48,,,,,,23,25
"De 20 a 24 años (013)",128,,,,,,55,73
"De 25 a 29 años (014)",209,,,,,7,113,89
"De 30 a 34 años (015)",676,,,,,107,412,157
"De 35 a 39 años (016)",672,,,,3,221,292,156
"De 40 a 44 años (017)",691,,,,34,346,161,150
"De 45 a 49 años (018)",755,,,5,125,390,80,155
"De 50 y más años (019)",5815,219,683,1427,1393,537,16,1540
"Educacion Inicial (020)",65,,,,,11,29,25
"De 20 a 24 años (023)",21,,,,,,8,13
"De 25 a 29 años (024)",16,,,,,2,11,3
"De 30 a 34 años (025)",18,,,,,6,7,5
"De 35 a 39 años (026)",10,,,,,3,3,4
"Primaria (030)",26403,281,952,2379,3802,5905,7309,5775
"De 12 a 14 años (031)",44,,,,,,2,42
"De 15 a 19 años (032)",493,,,,,,276,217
"De 20 a 24 años (033)",1685,,,,,3,1034,648
"De 25 a 29 años (034)",2662,,,,,109,1800,753
"De 30 a 34 años (035)",2841,,,,1,432,1782,626
"De 35 a 39 años (036)",2854,,,,23,985,1314,532
"De 40 a 44 años (037)",2909,,,,201,1465,766,477
"De 45 a 49 años (038)",2886,,,13,587,1538,296,452
"De 50 y más años (039)",10029,281,952,2366,2990,1373,39,2028
"Secundaria (040)",22991,45,182,559,1662,4232,10378,5933
"De 12 a 14 años (041)",62,,,,,,5,57
"De 15 a 19 años (042)",1267,,,,,,697,570
"De 20 a 24 años (043)",3803,,,,,9,2366,1428
"De 25 a 29 años (044)",4102,,,,,181,2766,1155
"De 30 a 34 años (045)",3683,,,,1,555,2330,797
"De 35 a 39 años (046)",2968,,,,33,973,1430,532
"De 40 a 44 años (047)",2198,,,,149,1066,598,385
"De 45 a 49 años (048)",1758,,,14,378,896,159,311
"De 50 y más años (049)",3150,45,182,545,1101,552,27,698
