"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SAN PABLO (000)",8775,26031,22567,,462,86.7,1.8
"De 12 a 14 años (001)",893,2,2,,2,100,100
"De 15 a 19 años (002)",1165,256,251,63,98,24.6,
"De 20 a 24 años (003)",964,895,856,112,95.6,12.5,
"De 25 a 29 años (004)",826,1353,1300,101,96.1,7.5,
"De 30 a 34 años (005)",756,1838,1728,80,94,4.4,
"De 35 a 39 años (006)",817,2648,2432,70,91.8,2.6,
"De 40 a 44 años (007)",652,2601,2384,27,91.7,1,
"De 45 a 49 años (008)",543,2742,2409,7,87.9,0.3,
"De 50 y más años (009)",2159,13696,11205,,81.8,,
"PEA (010)",1485,3441,3087,60,89.7,1.7,
"De 12 a 14 años (011)",63,,,,,,
"De 15 a 19 años (012)",171,17,17,4,100,23.5,
"De 20 a 24 años (013)",203,123,113,13,91.9,10.6,
"De 25 a 29 años (014)",173,222,216,19,97.3,8.6,
"De 30 a 34 años (015)",167,314,305,8,97.1,2.5,
"De 35 a 39 años (016)",191,535,476,13,89,2.4,
"De 40 a 44 años (017)",159,498,459,3,92.2,0.6,
"De 45 a 49 años (018)",120,496,456,,91.9,,
"De 50 y más años (019)",238,1236,1045,,84.5,,
"Ocupada (020)",1288,3370,3018,58,89.6,1.7,
"De 12 a 14 años (021)",46,,,,,,
"De 15 a 19 años (022)",100,17,17,4,100,23.5,
"De 20 a 24 años (023)",154,113,104,13,92,11.5,
"De 25 a 29 años (024)",152,212,206,19,97.2,9,
"De 30 a 34 años (025)",152,303,294,7,97,2.3,
"De 35 a 39 años (026)",183,529,470,12,88.8,2.3,
"De 40 a 44 años (027)",151,484,445,3,91.9,0.6,
"De 45 a 49 años (028)",115,482,442,,91.7,,
"De 50 y más años (029)",235,1230,1040,,84.6,,
"Desocupada (030)",197,71,69,2,97.2,2.8,
"De 12 a 14 años (031)",17,,,,,,
"De 15 a 19 años (032)",71,,,,,,
"De 20 a 24 años (033)",49,10,9,,90,,
"De 25 a 29 años (034)",21,10,10,,100,,
"De 30 a 34 años (035)",15,11,11,1,100,9.1,
"De 35 a 39 años (036)",8,6,6,1,100,16.7,
"De 40 a 44 años (037)",8,14,14,,100,,
"De 45 a 49 años (038)",5,14,14,,100,,
"De 50 y más años (039)",3,6,5,,83.3,,
