"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONTUMAZA (000)",9230,7464,697,511,558
"Agric., ganadería, caza y silvicultura (001)",5030,4736,236,51,7
"Pesca (002)",5,5,,,
"Explotación de minas y canteras (003)",53,6,4,32,11
"Industrias manufactureras (004)",428,385,21,18,4
"Suministro de electricidad, gas y agua (005)",30,6,2,21,1
"Construcción (006)",404,279,66,38,21
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",791,754,23,11,3
"Venta, mant.y rep. veh.autom y motoc. (008)",69,60,2,4,3
"Comercio al por mayor (009)",34,28,2,4,
"Comercio al por menor (010)",688,666,19,3,
"Hoteles y restaurantes (011)",249,233,12,4,
"Trans., almac. y comunicaciones (012)",337,266,28,28,15
"Intermediación financiera (013)",4,2,,1,1
"Activid.inmobil., empres. y alquileres (014)",130,51,35,34,10
"Admin.pub. y defensa; p. segur soc.afil (015)",338,,,,338
"Enseñanza (016)",822,307,237,233,45
"Servicios sociales y de salud (017)",128,25,2,13,88
"Otras activ. serv.comun.soc y personales (018)",120,88,15,9,8
"Hogares privados con servicio doméstico (019)",167,167,,,
"Actividad economica no especificada (021)",194,154,16,18,6
"Hombres (022)",7235,5937,535,356,407
"Agric., ganadería, caza y silvicultura (023)",4779,4506,222,44,7
"Pesca (024)",5,5,,,
"Explotación de minas y canteras (025)",47,6,4,26,11
"Industrias manufactureras (026)",227,192,18,14,3
"Suministro de electricidad, gas y agua (027)",28,6,2,19,1
"Construcción (028)",393,276,65,33,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",424,399,14,8,3
"Venta, mant.y rep. veh.autom y motoc. (030)",63,54,2,4,3
"Comercio al por mayor (031)",19,15,2,2,
"Comercio al por menor (032)",342,330,10,2,
"Hoteles y restaurantes (033)",41,37,4,,
"Trans., almac. y comunicaciones (034)",318,249,27,27,15
"Intermediación financiera (035)",1,1,,,
"Activid.inmobil., empres. y alquileres (036)",101,32,32,31,6
"Admin.pub. y defensa; p. segur soc.afil (037)",269,,,,269
"Enseñanza (038)",377,106,116,130,25
"Servicios sociales y de salud (039)",59,13,2,5,39
"Otras activ. serv.comun.soc y personales (040)",62,37,15,5,5
"Hogares privados con servicio doméstico (041)",2,2,,,
"Actividad economica no especificada (043)",102,70,14,14,4
