"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TAMBOPATA (000)",22118,17640,4478
"Casa independiente (001)",17206,14111,3095
"Departamento en edificio (002)",182,182,
"Vivienda en quinta (003)",916,916,
"Vivienda en casa de vecindad (004)",2139,2139,
"Choza o cabaña (005)",1359,,1359
"Vivienda improvisada (006)",221,221,
"Local no dest.para hab. humana (007)",67,61,6
"Otro tipo (008)",28,10,18
