"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHURCAMPA (000)",13112,1324,2608,6468,75,2572,65
"Agric., ganadería, caza y silvicultura (001)",9537,5,1639,5418,58,2417,
"Pesca (002)",5,1,1,2,,1,
"Explotación de minas y canteras (003)",695,124,564,3,,4,
"Industrias manufactureras (004)",167,10,45,100,4,8,
"Suministro de electricidad, gas y agua (005)",25,3,21,1,,,
"Construcción (006)",257,12,188,48,,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",562,25,17,459,5,56,
"Venta, mant.y rep. veh.autom.y motoc. (008)",29,,10,18,,1,
"Comercio al por mayor (009)",26,1,3,20,,2,
"Comercio al por menor (010)",507,24,4,421,5,53,
"Hoteles y restaurantes (011)",257,39,32,168,4,14,
"Trans., almac. y comunicaciones (012)",124,27,20,71,2,4,
"Intermediación financiera (013)",5,3,2,,,,
"Activid.inmobil., empres. y alquileres (014)",110,95,3,10,1,1,
"Admin.pub. y defensa; p. segur.soc.afil (015)",245,212,33,,,,
"Enseñanza (016)",670,632,1,34,,3,
"Servicios sociales y de salud (017)",102,91,,10,1,,
"Otras activ. serv.comun.soc y personales (018)",52,14,10,24,,4,
"Hogares privados con servicio doméstico (019)",65,,,,,,65
"Actividad economica no especificada (021)",234,31,32,120,,51,
"Hombres (022)",9188,817,2216,5055,58,1036,6
"Agric., ganadería, caza y silvicultura (023)",6936,5,1321,4579,50,981,
"Pesca (024)",5,1,1,2,,1,
"Explotación de minas y canteras (025)",669,115,547,3,,4,
"Industrias manufactureras (026)",103,5,32,57,2,7,
"Suministro de electricidad, gas y agua (027)",25,3,21,1,,,
"Construcción (028)",251,10,186,47,,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",225,10,17,183,2,13,
"Venta, mant.y rep. veh.autom.y motoc. (030)",28,,10,18,,,
"Comercio al por mayor (031)",20,1,3,15,,1,
"Comercio al por menor (032)",177,9,4,150,2,12,
"Hoteles y restaurantes (033)",67,13,22,28,1,3,
"Trans., almac. y comunicaciones (034)",118,23,18,71,2,4,
"Intermediación financiera (035)",2,1,1,,,,
"Activid.inmobil., empres. y alquileres (036)",90,77,3,9,1,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",178,151,27,,,,
"Enseñanza (038)",367,349,1,16,,1,
"Servicios sociales y de salud (039)",35,26,,9,,,
"Otras activ. serv.comun.soc y personales (040)",21,10,2,7,,2,
"Hogares privados con servicio doméstico (041)",6,,,,,,6
"Actividad economica no especificada (043)",90,18,17,43,,12,
"Mujeres (044)",3924,507,392,1413,17,1536,59
"Agric., ganadería, caza y silvicultura (045)",2601,,318,839,8,1436,
"Explotación de minas y canteras (047)",26,9,17,,,,
"Industrias manufactureras (048)",64,5,13,43,2,1,
"Construcción (050)",6,2,2,1,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",337,15,,276,3,43,
"Venta, mant.y rep. veh.autom.y motoc. (052)",1,,,,,1,
"Comercio al por mayor (053)",6,,,5,,1,
"Comercio al por menor (054)",330,15,,271,3,41,
"Hoteles y restaurantes (055)",190,26,10,140,3,11,
"Trans., almac. y comunicaciones (056)",6,4,2,,,,
"Intermediación financiera (057)",3,2,1,,,,
"Activid.inmobil., empres. y alquileres (058)",20,18,,1,,1,
"Admin.pub. y defensa; p. segur.soc.afil (059)",67,61,6,,,,
"Enseñanza (060)",303,283,,18,,2,
"Servicios sociales y de salud (061)",67,65,,1,1,,
"Otras activ. serv.comun.soc y personales (062)",31,4,8,17,,2,
"Hogares privados con servicio doméstico (063)",59,,,,,,59
"Actividad economica no especificada (065)",144,13,15,77,,39,
,,,,,,,
"URBANA (066)",3679,1042,976,1301,18,300,42
"Agric., ganadería, caza y silvicultura (067)",1068,4,210,627,6,221,
"Pesca (068)",2,1,1,,,,
"Explotación de minas y canteras (069)",679,123,551,1,,4,
"Industrias manufactureras (070)",95,8,24,56,4,3,
"Suministro de electricidad, gas y agua (071)",4,3,,1,,,
"Construcción (072)",131,8,91,32,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",381,17,11,304,3,46,
"Venta, mant.y rep. veh.autom.y motoc. (074)",27,,9,17,,1,
"Comercio al por mayor (075)",18,,1,16,,1,
"Comercio al por menor (076)",336,17,1,271,3,44,
"Hoteles y restaurantes (077)",211,37,27,137,3,7,
"Trans., almac. y comunicaciones (078)",97,24,14,56,,3,
"Intermediación financiera (079)",5,3,2,,,,
"Activid.inmobil., empres. y alquileres (080)",103,89,3,9,1,1,
"Admin.pub. y defensa; p. segur.soc.afil (081)",212,192,20,,,,
"Enseñanza (082)",454,434,1,18,,1,
"Servicios sociales y de salud (083)",76,66,,9,1,,
"Otras activ. serv.comun.soc y personales (084)",46,13,9,21,,3,
"Hogares privados con servicio doméstico (085)",42,,,,,,42
"Actividad economica no especificada (087)",73,20,12,30,,11,
"Hombres (088)",2498,643,882,816,8,146,3
"Agric., ganadería, caza y silvicultura (089)",785,4,166,492,4,119,
"Pesca (090)",2,1,1,,,,
"Explotación de minas y canteras (091)",653,114,534,1,,4,
"Industrias manufactureras (092)",65,4,15,41,2,3,
"Suministro de electricidad, gas y agua (093)",4,3,,1,,,
"Construcción (094)",129,7,91,31,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",145,7,11,118,,9,
"Venta, mant.y rep. veh.autom.y motoc. (096)",26,,9,17,,,
"Comercio al por mayor (097)",12,,1,11,,,
"Comercio al por menor (098)",107,7,1,90,,9,
"Hoteles y restaurantes (099)",65,12,22,27,1,3,
"Trans., almac. y comunicaciones (100)",92,20,13,56,,3,
"Intermediación financiera (101)",2,1,1,,,,
"Activid.inmobil., empres. y alquileres (102)",83,71,3,8,1,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",151,137,14,,,,
"Enseñanza (104)",231,223,1,7,,,
"Servicios sociales y de salud (105)",27,19,,8,,,
"Otras activ. serv.comun.soc y personales (106)",19,9,2,6,,2,
"Hogares privados con servicio doméstico (107)",3,,,,,,3
"Actividad economica no especificada (109)",42,11,8,20,,3,
"Mujeres (110)",1181,399,94,485,10,154,39
"Agric., ganadería, caza y silvicultura (111)",283,,44,135,2,102,
"Explotación de minas y canteras (113)",26,9,17,,,,
"Industrias manufactureras (114)",30,4,9,15,2,,
"Construcción (116)",2,1,,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",236,10,,186,3,37,
"Venta, mant.y rep. veh.autom.y motoc. (118)",1,,,,,1,
"Comercio al por mayor (119)",6,,,5,,1,
"Comercio al por menor (120)",229,10,,181,3,35,
"Hoteles y restaurantes (121)",146,25,5,110,2,4,
"Trans., almac. y comunicaciones (122)",5,4,1,,,,
"Intermediación financiera (123)",3,2,1,,,,
"Activid.inmobil., empres. y alquileres (124)",20,18,,1,,1,
"Admin.pub. y defensa; p. segur.soc.afil (125)",61,55,6,,,,
