"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASTILLA (000)",14701,7504,7197
"Casa independiente (001)",13296,6900,6396
"Departamento en edificio (002)",28,28,
"Vivienda en quinta (003)",71,71,
"Vivienda en casa de vecindad (004)",454,454,
"Choza o cabaña (005)",779,,779
"Vivienda improvisada (006)",29,29,
"Local no dest.para hab. humana (007)",39,19,20
"Otro tipo (008)",5,3,2
