"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ACOMAYO (000)",7633,198,1863,2824,2014,734
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",33,,2,18,13,
"Profes., científicos e intelectuales (002)",382,,96,177,104,5
"Técnicos de nivel medio y trab. asimilados (003)",87,1,33,36,15,2
"Jefes y empleados de oficina (004)",80,,33,29,18,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",404,5,109,169,92,29
"Agricult. trabaj. calif.agrop. y pesqueros (006)",3437,16,550,1300,1101,470
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",181,3,71,63,36,8
"Obreros construc., conf., papel, fab., instr. (008)",316,,102,146,65,3
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",2395,173,795,773,491,163
"Otra (010)",29,,7,17,5,
"Ocupación no especificada (011)",289,,65,96,74,54
"Hombres (012)",5093,117,1221,1951,1358,446
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",28,,2,16,10,
"Profes., científicos e intelectuales (014)",223,,48,96,74,5
"Técnicos de nivel medio y trab. asimilados (015)",50,1,16,21,10,2
"Jefes y empleados de oficina (016)",47,,8,22,17,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",131,3,31,57,30,10
"Agricult. trabaj. calif.agrop. y pesqueros (018)",2749,10,431,1106,859,343
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",155,3,61,57,30,4
"Obreros construc., conf., papel, fab., instr. (020)",306,,98,143,62,3
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",1268,100,485,379,240,64
"Otra (022)",29,,7,17,5,
"Ocupación no especificada (023)",107,,34,37,21,15
"Mujeres (024)",2540,81,642,873,656,288
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",5,,,2,3,
"Profes., científicos e intelectuales (026)",159,,48,81,30,
"Técnicos de nivel medio y trab. asimilados (027)",37,,17,15,5,
"Jefes y empleados de oficina (028)",33,,25,7,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",273,2,78,112,62,19
"Agricult. trabaj. calif.agrop. y pesqueros (030)",688,6,119,194,242,127
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",26,,10,6,6,4
"Obreros construc., conf., papel, fab., instr. (032)",10,,4,3,3,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1127,73,310,394,251,99
"Ocupación no especificada (035)",182,,31,59,53,39
