"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ACOBAMBA (000)",15410,13743,906,306,455
"Hombres (001)",10396,9254,611,198,333
"Mujeres (002)",5014,4489,295,108,122
"De 06 a 14 años (003)",262,224,38,,
"Hombres (004)",136,119,17,,
"Mujeres (005)",126,105,21,,
"De 15 a 29 años (006)",5296,4710,325,80,181
"Hombres (007)",3479,3096,214,41,128
"Mujeres (008)",1817,1614,111,39,53
"De 30 a 44 años (009)",5172,4477,351,148,196
"Hombres (010)",3587,3100,247,98,142
"Mujeres (011)",1585,1377,104,50,54
"De 45 a 64 años (012)",3621,3302,173,73,73
"Hombres (013)",2488,2253,121,55,59
"Mujeres (014)",1133,1049,52,18,14
"De 65 y más años (015)",1059,1030,19,5,5
"Hombres (016)",706,686,12,4,4
"Mujeres (017)",353,344,7,1,1
,,,,,
"URBANA (018)",4951,3974,406,242,329
"Hombres (019)",3090,2446,261,150,233
"Mujeres (020)",1861,1528,145,92,96
"De 06 a 14 años (021)",82,78,4,,
"Hombres (022)",49,47,2,,
"Mujeres (023)",33,31,2,,
"De 15 a 29 años (024)",1440,1142,116,61,121
"Hombres (025)",865,684,72,29,80
"Mujeres (026)",575,458,44,32,41
"De 30 a 44 años (027)",1954,1487,196,121,150
"Hombres (028)",1228,918,125,78,107
"Mujeres (029)",726,569,71,43,43
"De 45 a 64 años (030)",1170,975,83,58,54
"Hombres (031)",755,614,58,41,42
"Mujeres (032)",415,361,25,17,12
"De 65 y más años (033)",305,292,7,2,4
"Hombres (034)",193,183,4,2,4
"Mujeres (035)",112,109,3,,
,,,,,
"RURAL (036)",10459,9769,500,64,126
"Hombres (037)",7306,6808,350,48,100
"Mujeres (038)",3153,2961,150,16,26
"De 06 a 14 años (039)",180,146,34,,
"Hombres (040)",87,72,15,,
"Mujeres (041)",93,74,19,,
"De 15 a 29 años (042)",3856,3568,209,19,60
"Hombres (043)",2614,2412,142,12,48
"Mujeres (044)",1242,1156,67,7,12
"De 30 a 44 años (045)",3218,2990,155,27,46
"Hombres (046)",2359,2182,122,20,35
"Mujeres (047)",859,808,33,7,11
"De 45 a 64 años (048)",2451,2327,90,15,19
"Hombres (049)",1733,1639,63,14,17
"Mujeres (050)",718,688,27,1,2
"De 65 y más años (051)",754,738,12,3,1
"Hombres (052)",513,503,8,2,
"Mujeres (053)",241,235,4,1,1
