"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia AREQUIPA (000)",864250,415972,448278,842880,404443,438437,21370,11529,9841
"Menores de 1 año (001)",13385,6840,6545,13030,6648,6382,355,192,163
"Menores de 1 mes (002)",1246,653,593,1228,643,585,18,10,8
"De 1 a 11 meses (003)",12139,6187,5952,11802,6005,5797,337,182,155
"De 1 a 4 años (004)",56363,28677,27686,54766,27846,26920,1597,831,766
"1 año (005)",13347,6755,6592,13029,6590,6439,318,165,153
"2 años (006)",14370,7271,7099,13910,7041,6869,460,230,230
"3 años (007)",14578,7446,7132,14161,7231,6930,417,215,202
"4 años (008)",14068,7205,6863,13666,6984,6682,402,221,181
"De 5 a 9 años (009)",70966,36304,34662,69091,35321,33770,1875,983,892
"5 años (010)",13824,7124,6700,13465,6930,6535,359,194,165
"6 años (011)",13369,6806,6563,13020,6638,6382,349,168,181
"7 años (012)",14440,7378,7062,14045,7159,6886,395,219,176
"8 años (013)",14611,7548,7063,14234,7341,6893,377,207,170
"9 años (014)",14722,7448,7274,14327,7253,7074,395,195,200
"De 10 a 14 años (015)",79557,40312,39245,77492,39257,38235,2065,1055,1010
"10 años (016)",15622,7881,7741,15221,7674,7547,401,207,194
"11 años (017)",15408,7901,7507,15018,7711,7307,390,190,200
"12 años (018)",16420,8430,7990,15982,8204,7778,438,226,212
"13 años (019)",15623,7779,7844,15202,7558,7644,421,221,200
"14 años (020)",16484,8321,8163,16069,8110,7959,415,211,204
"De 15 a 19 años (021)",86983,42854,44129,84989,41791,43198,1994,1063,931
"15 años (022)",16802,8277,8525,16385,8059,8326,417,218,199
"16 años (023)",16044,8021,8023,15647,7809,7838,397,212,185
"17 años (024)",16775,8269,8506,16365,8058,8307,410,211,199
"18 años (025)",18387,9011,9376,18019,8821,9198,368,190,178
"19 años (026)",18975,9276,9699,18573,9044,9529,402,232,170
"De 20 a 24 años (027)",86068,41730,44338,84158,40668,43490,1910,1062,848
"20 años (028)",19187,9251,9936,18751,9004,9747,436,247,189
"21 años (029)",15916,7738,8178,15574,7544,8030,342,194,148
"22 años (030)",17173,8504,8669,16789,8292,8497,384,212,172
"23 años (031)",16658,8068,8590,16301,7869,8432,357,199,158
"24 años (032)",17134,8169,8965,16743,7959,8784,391,210,181
"De 25 a 29 años (033)",77487,36888,40599,75783,35961,39822,1704,927,777
"25 años (034)",16890,8025,8865,16548,7846,8702,342,179,163
"26 años (035)",15544,7472,8072,15199,7302,7897,345,170,175
"27 años (036)",16390,7842,8548,16030,7626,8404,360,216,144
"28 años (037)",14801,7099,7702,14438,6904,7534,363,195,168
"29 años (038)",13862,6450,7412,13568,6283,7285,294,167,127
