"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SANTA (000)",156601,339900,319021,,5633,93.9,1.7
"De 12 a 14 años (001)",12292,62,59,,3,95.2,4.8
"De 15 a 19 años (002)",19406,2232,2190,619,98.1,27.7,
"De 20 a 24 años (003)",17642,10195,10047,1323,98.5,13,
"De 25 a 29 años (004)",16772,19375,19105,1409,98.6,7.3,
"De 30 a 34 años (005)",15626,27628,27156,1202,98.3,4.4,
"De 35 a 39 años (006)",15106,35004,34243,800,97.8,2.3,
"De 40 a 44 años (007)",13298,37297,36216,238,97.1,0.6,
"De 45 a 49 años (008)",10811,35869,34494,39,96.2,0.1,
"De 50 y más años (009)",35648,172238,155511,,90.3,,
"Sin nivel (010)",12421,62561,54687,171,87.4,0.3,
"De 12 a 14 años (011)",127,4,4,1,100,25,
"De 15 a 19 años (012)",274,51,49,17,96.1,33.3,
"De 20 a 24 años (013)",254,232,229,18,98.7,7.8,
"De 25 a 29 años (014)",259,410,400,22,97.6,5.4,
"De 30 a 34 años (015)",721,1763,1718,55,97.4,3.1,
"De 35 a 39 años (016)",784,2393,2313,38,96.7,1.6,
"De 40 a 44 años (017)",822,2996,2862,19,95.5,0.6,
"De 45 a 49 años (018)",904,4086,3818,1,93.4,,
"De 50 y más años (019)",8276,50626,43294,,85.5,,
"Educacion Inicial (020)",218,198,197,9,99.5,4.5,
"De 12 a 14 años (021)",46,,,,,,
"De 15 a 19 años (022)",45,3,3,,100,,
"De 20 a 24 años (023)",34,21,21,1,100,4.8,
"De 25 a 29 años (024)",37,47,47,2,100,4.3,
"De 30 a 34 años (025)",38,79,79,5,100,6.3,
"De 35 a 39 años (026)",18,48,47,1,97.9,2.1,
"Primaria (030)",33532,111116,103332,890,93,0.8,
"De 12 a 14 años (031)",4359,22,21,,95.5,,
"De 15 a 19 años (032)",1630,381,376,101,98.7,26.5,
"De 20 a 24 años (033)",1588,1715,1683,177,98.1,10.3,
"De 25 a 29 años (034)",2061,3798,3737,219,98.4,5.8,
"De 30 a 34 años (035)",2235,5580,5441,192,97.5,3.4,
"De 35 a 39 años (036)",2569,7821,7590,139,97,1.8,
"De 40 a 44 años (037)",2711,9915,9568,50,96.5,0.5,
"De 45 a 49 años (038)",2671,11219,10699,12,95.4,0.1,
