"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PALPA (000)",5170,3257,853,543,517
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",26,1,4,6,15
"Profes., científicos e intelectuales (002)",355,105,72,80,98
"Técnicos de nivel medio y trab. asimilados (003)",156,65,19,14,58
"Jefes y empleados de oficina (004)",155,28,22,17,88
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",523,487,28,3,5
"Agricult.trabaj.calif.agrop.y pesqueros (006)",607,525,75,5,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",393,317,37,29,10
"Obreros construc.,conf.,papel, fab., instr. (008)",354,272,42,19,21
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2449,1370,528,354,197
"Otra (010)",13,,,,13
"Ocupación no especificada (011)",139,87,26,16,10
"Hombres (012)",3444,2236,572,345,291
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",19,1,2,4,12
"Profes., científicos e intelectuales (014)",146,45,19,40,42
"Técnicos de nivel medio y trab. asimilados (015)",89,47,13,8,21
"Jefes y empleados de oficina (016)",82,13,14,10,45
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",212,194,10,3,5
"Agricult.trabaj.calif.agrop.y pesqueros (018)",539,472,61,4,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",348,285,36,20,7
"Obreros construc.,conf.,papel, fab., instr. (020)",343,262,42,19,20
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1571,870,358,223,120
"Otra (022)",13,,,,13
"Ocupación no especificada (023)",82,47,17,14,4
"Mujeres (024)",1726,1021,281,198,226
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,,2,2,3
"Profes., científicos e intelectuales (026)",209,60,53,40,56
"Técnicos de nivel medio y trab. asimilados (027)",67,18,6,6,37
"Jefes y empleados de oficina (028)",73,15,8,7,43
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",311,293,18,,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",68,53,14,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",45,32,1,9,3
"Obreros construc.,conf.,papel, fab., instr. (032)",11,10,,,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",878,500,170,131,77
