"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MARISCAL CACERES (000)",50139,30883,19256
"Casa independiente (001)",40192,28926,11266
"Departamento en edificio (002)",157,157,
"Vivienda en quinta (003)",1249,1249,
"Vivienda en casa de vecindad (004)",207,207,
"Choza o cabaña (005)",7967,,7967
"Vivienda improvisada (006)",271,271,
"Local no dest.para hab. humana (007)",63,60,3
"Otro tipo (008)",33,13,20
