"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",18283,17557,51,2511,2519,2447,4675,3310,1635,409,726,75086
"De 12 a 14 años (001)",55,17,1,14,2,,,,,,38,18
"De 15 a 19 años (002)",493,407,5,341,49,9,3,,,,86,478
"De 20 a 24 años (003)",1718,1519,4,793,525,142,47,8,,,199,2516
"De 25 a 29 años (004)",2102,1947,1,453,622,504,336,27,4,,155,4830
"De 30 a 34 años (005)",2026,1961,7,227,396,466,689,151,23,2,65,6633
"De 35 a 39 años (006)",2019,1980,3,126,213,359,734,425,110,10,39,8614
"De 40 a 44 años (007)",2003,1978,3,80,134,191,642,572,299,57,25,10593
"De 45 a 49 años (008)",1727,1710,,72,101,139,472,545,288,93,17,9753
"De 50 y más años (009)",6140,6038,27,405,477,637,1752,1582,911,247,102,31651
"Sin nivel (010)",7981,7833,29,522,627,891,2374,2024,1076,290,148,40308
"De 12 a 14 años (011)",1,1,,,1,,,,,,,2
"De 15 a 19 años (012)",20,20,,11,6,3,,,,,,32
"De 20 a 24 años (013)",96,81,1,24,24,21,8,3,,,15,188
"De 25 a 29 años (014)",214,200,1,28,62,62,41,4,2,,14,553
"De 30 a 34 años (015)",372,361,1,28,46,73,151,47,13,2,11,1440
"De 35 a 39 años (016)",554,546,,24,34,70,216,153,43,6,8,2658
"De 40 a 44 años (017)",854,842,2,32,36,63,270,253,154,32,12,4770
"De 45 a 49 años (018)",885,878,,33,30,69,241,280,168,57,7,5236
"De 50 y más años (019)",4985,4904,24,342,388,530,1447,1284,696,193,81,25429
"Educacion Inicial (020)",27,25,,1,7,4,8,4,1,,2,95
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
