"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANCAYO (000)",172189,5735,137,29135,62707,11661,18187,12382,32245
"Agric., ganadería, caza y silvicultura (001)",25304,2901,42,11145,8792,557,595,433,839
"Pesca (002)",102,2,,39,31,3,7,5,15
"Explotación de minas y canteras (003)",2247,6,,213,990,133,241,140,524
"Industrias manufactureras (004)",15103,267,9,2384,7400,1175,1487,1071,1310
"Suministro de electricidad, gas y agua (005)",515,3,,18,100,26,96,42,230
"Construcción (006)",9848,111,3,1713,5093,606,699,513,1110
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",42448,1223,31,6863,18528,3372,4599,3335,4497
"Venta, mant.y rep. veh.autom.y motoc. (008)",4311,18,1,321,1848,472,779,305,567
"Comercio al por mayor (009)",2300,17,,199,888,217,277,286,416
"Comercio al por menor (010)",35837,1188,30,6343,15792,2683,3543,2744,3514
"Hoteles y restaurantes (011)",10574,424,10,2151,4979,918,709,754,629
"Trans., almac. y comunicaciones (012)",15179,116,8,1620,8252,1295,1339,1281,1268
"Intermediación financiera (013)",1395,,,4,108,65,191,245,782
"Activid.inmobil., empres. y de alquiler (014)",9758,20,3,226,1744,934,1388,1394,4049
"Admin.pub. y defensa; p. segur.soc.afil (015)",5978,15,,126,749,342,1115,862,2769
"Enseñanza (016)",15865,1,1,16,511,629,3569,857,10281
"Servicios sociales y de salud (017)",4638,9,,33,203,231,1000,510,2652
"Otras activ. serv.comun.soc y personales (018)",6343,276,15,910,2128,908,695,596,815
"Hogares privados con servicio doméstico (019)",3543,200,8,980,1786,239,164,97,69
"Actividad economica no especificada (021)",3349,161,7,694,1313,228,293,247,406
"Hombres (022)",99955,1564,62,15421,40914,7001,9178,7862,17953
"Agric., ganadería, caza y silvicultura (023)",16517,1027,18,6890,6758,410,415,359,640
"Pesca (024)",73,,,22,24,2,7,5,13
"Explotación de minas y canteras (025)",2151,6,,209,975,128,223,128,482
"Industrias manufactureras (026)",9578,75,4,1407,5091,679,787,734,801
"Suministro de electricidad, gas y agua (027)",432,3,,18,94,23,75,32,187
"Construcción (028)",9488,104,3,1674,4989,590,655,488,985
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",20184,139,16,2390,9460,1709,2187,1883,2400
"Venta, mant.y rep. veh.autom.y motoc. (030)",3890,12,1,284,1697,431,722,259,484
"Comercio al por mayor (031)",1250,2,,80,519,127,130,165,227
"Comercio al por menor (032)",15044,125,15,2026,7244,1151,1335,1459,1689
"Hoteles y restaurantes (033)",3401,22,4,427,1727,361,225,350,285
"Trans., almac. y comunicaciones (034)",13498,107,5,1541,7692,1069,1054,1063,967
"Intermediación financiera (035)",745,,,3,50,41,87,135,429
"Activid.inmobil., empres. y de alquiler (036)",6519,5,3,153,1343,641,806,941,2627
"Admin.pub. y defensa; p. segur.soc.afil (037)",3921,7,,83,569,217,739,556,1750
"Enseñanza (038)",7013,,,13,251,290,1267,463,4729
"Servicios sociales y de salud (039)",1633,1,,12,87,86,263,204,980
