"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",44144,3942,8196,6993,5451,7564,5237,5898,863
"Sabe leer y escribir (001)",31014,,4078,6598,5052,6601,4296,3974,415
"No sabe leer y escribir (002)",13130,3942,4118,395,399,963,941,1924,448
"Hombres (004)",22524,1911,4108,3625,2747,3702,2662,3304,465
"Sabe leer y escribir (005)",17316,,2091,3486,2664,3573,2506,2691,305
"No sabe leer y escribir (006)",5208,1911,2017,139,83,129,156,613,160
"Mujeres (008)",21620,2031,4088,3368,2704,3862,2575,2594,398
"Sabe leer y escribir (009)",13698,,1987,3112,2388,3028,1790,1283,110
"No sabe leer y escribir (010)",7922,2031,2101,256,316,834,785,1311,288
,,,,,,,,,
"URBANA (012)",12297,884,1920,2009,1624,2124,1588,1863,285
"Sabe leer y escribir (013)",10176,,1221,1970,1599,2070,1511,1604,201
"No sabe leer y escribir (014)",2121,884,699,39,25,54,77,259,84
"Hombres (016)",6193,432,949,1018,844,985,786,1017,162
"Sabe leer y escribir (017)",5306,,630,999,834,969,772,965,137
"No sabe leer y escribir (018)",887,432,319,19,10,16,14,52,25
"Mujeres (020)",6104,452,971,991,780,1139,802,846,123
"Sabe leer y escribir (021)",4870,,591,971,765,1101,739,639,64
"No sabe leer y escribir (022)",1234,452,380,20,15,38,63,207,59
,,,,,,,,,
"RURAL (024)",31847,3058,6276,4984,3827,5440,3649,4035,578
"Sabe leer y escribir (025)",20838,,2857,4628,3453,4531,2785,2370,214
"No sabe leer y escribir (026)",11009,3058,3419,356,374,909,864,1665,364
"Hombres (028)",16331,1479,3159,2607,1903,2717,1876,2287,303
"Sabe leer y escribir (029)",12010,,1461,2487,1830,2604,1734,1726,168
"No sabe leer y escribir (030)",4321,1479,1698,120,73,113,142,561,135
"Mujeres (032)",15516,1579,3117,2377,1924,2723,1773,1748,275
"Sabe leer y escribir (033)",8828,,1396,2141,1623,1927,1051,644,46
"No sabe leer y escribir (034)",6688,1579,1721,236,301,796,722,1104,229
