"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia JULCAN (000)",900,215,685
"Sin nivel (001)",102,16,86
"Primaria (003)",532,110,422
"Secundaria (004)",203,79,124
"Superior no univ. incompleta (005)",9,3,6
"Superior no univ. completa (006)",25,4,21
"Superior univ. incompleta (007)",6,1,5
"Superior univ. completa (008)",23,2,21
"Hombres (010)",759,144,615
"Sin nivel (011)",86,11,75
"Primaria (013)",468,81,387
"Secundaria (014)",151,46,105
"Superior no univ. incompleta (015)",5,,5
"Superior no univ. completa (016)",22,3,19
"Superior univ. incompleta (017)",6,1,5
"Superior univ. completa (018)",21,2,19
"Mujeres (020)",141,71,70
"Sin nivel (021)",16,5,11
"Primaria (023)",64,29,35
"Secundaria (024)",52,33,19
"Superior no univ. incompleta (025)",4,3,1
"Superior no univ. completa (026)",3,1,2
"Superior univ. completa (028)",2,,2
,,,
"AREA URBANA (030)",188,50,138
"Sin nivel (031)",21,4,17
"Primaria (033)",79,16,63
"Secundaria (034)",50,20,30
"Superior no univ. incompleta (035)",7,3,4
"Superior no univ. completa (036)",17,4,13
"Superior univ. incompleta (037)",3,1,2
"Superior univ. completa (038)",11,2,9
"Hombres (040)",152,37,115
"Sin nivel (041)",14,2,12
"Primaria (043)",69,13,56
"Secundaria (044)",39,16,23
"Superior no univ. incompleta (045)",3,,3
"Superior no univ. completa (046)",15,3,12
"Superior univ. incompleta (047)",3,1,2
"Superior univ. completa (048)",9,2,7
"Mujeres (050)",36,13,23
"Sin nivel (051)",7,2,5
"Primaria (053)",10,3,7
"Secundaria (054)",11,4,7
"Superior no univ. incompleta (055)",4,3,1
"Superior no univ. completa (056)",2,1,1
"Superior univ. completa (058)",2,,2
,,,
"AREA RURAL (060)",712,165,547
"Sin nivel (061)",81,12,69
"Primaria (063)",453,94,359
"Secundaria (064)",153,59,94
"Superior no univ. incompleta (065)",2,,2
"Superior no univ. completa (066)",8,,8
"Superior univ. incompleta (067)",3,,3
"Superior univ. completa (068)",12,,12
"Hombres (070)",607,107,500
"Sin nivel (071)",72,9,63
"Primaria (073)",399,68,331
"Secundaria (074)",112,30,82
"Superior no univ. incompleta (075)",2,,2
"Superior no univ. completa (076)",7,,7
"Superior univ. incompleta (077)",3,,3
"Superior univ. completa (078)",12,,12
"Mujeres (080)",105,58,47
"Sin nivel (081)",9,3,6
"Primaria (083)",54,26,28
"Secundaria (084)",41,29,12
"Superior no univ. completa (086)",1,,1
