"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ASCOPE (000)",110097,4179,9864,11748,10590,18439,16130,28832,10315
"Sabe leer y escribir (001)",99308,,8043,11609,10469,18066,15759,27379,7983
"No sabe leer y escribir (002)",10789,4179,1821,139,121,373,371,1453,2332
"Hombres (004)",55180,2171,5038,5964,5420,9254,7899,14099,5335
"Sabe leer y escribir (005)",50736,,4087,5885,5355,9089,7763,13776,4781
"No sabe leer y escribir (006)",4444,2171,951,79,65,165,136,323,554
"Mujeres (008)",54917,2008,4826,5784,5170,9185,8231,14733,4980
"Sabe leer y escribir (009)",48572,,3956,5724,5114,8977,7996,13603,3202
"No sabe leer y escribir (010)",6345,2008,870,60,56,208,235,1130,1778
,,,,,,,,,
"URBANA (012)",96859,3624,8643,10380,9263,15978,14373,25437,9161
"Sabe leer y escribir (013)",87957,,7154,10270,9162,15690,14095,24338,7248
"No sabe leer y escribir (014)",8902,3624,1489,110,101,288,278,1099,1913
"Hombres (016)",48264,1886,4434,5248,4735,7965,6987,12306,4703
"Sabe leer y escribir (017)",44629,,3656,5186,4679,7834,6890,12086,4298
"No sabe leer y escribir (018)",3635,1886,778,62,56,131,97,220,405
"Mujeres (020)",48595,1738,4209,5132,4528,8013,7386,13131,4458
"Sabe leer y escribir (021)",43328,,3498,5084,4483,7856,7205,12252,2950
"No sabe leer y escribir (022)",5267,1738,711,48,45,157,181,879,1508
,,,,,,,,,
"RURAL (024)",13238,555,1221,1368,1327,2461,1757,3395,1154
"Sabe leer y escribir (025)",11351,,889,1339,1307,2376,1664,3041,735
"No sabe leer y escribir (026)",1887,555,332,29,20,85,93,354,419
"Hombres (028)",6916,285,604,716,685,1289,912,1793,632
"Sabe leer y escribir (029)",6107,,431,699,676,1255,873,1690,483
"No sabe leer y escribir (030)",809,285,173,17,9,34,39,103,149
"Mujeres (032)",6322,270,617,652,642,1172,845,1602,522
"Sabe leer y escribir (033)",5244,,458,640,631,1121,791,1351,252
"No sabe leer y escribir (034)",1078,270,159,12,11,51,54,251,270
