"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ASCOPE (000)",37960,328,11205,14013,10956,1458
"Agric., ganadería, caza y silvicultura (001)",11389,126,3524,3765,3366,608
"Pesca (002)",406,2,148,167,81,8
"Explotación de minas y canteras (003)",68,,27,27,13,1
"Industrias manufactureras (004)",4041,28,1021,1392,1496,104
"Suministro de electricidad, gas y agua (005)",86,1,20,42,21,2
"Construcción (006)",2436,14,827,963,578,54
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6412,74,1546,2459,1949,384
"Venta, mant.y rep. veh.autom.y motoc. (008)",706,4,232,242,215,13
"Comercio al por mayor (009)",394,1,130,184,70,9
"Comercio al por menor (010)",5312,69,1184,2033,1664,362
"Hoteles y restaurantes (011)",1649,27,424,594,534,70
"Trans., almac. y comunicaciones (012)",3604,20,1505,1356,666,57
"Intermediación financiera (013)",128,,46,56,24,2
"Activid.inmobil., empres. y alquileres (014)",1661,2,538,694,410,17
"Admin.pub. y defensa; p. segur.soc.afil (015)",1145,,315,439,375,16
"Enseñanza (016)",1971,,350,957,644,20
"Servicios sociales y de salud (017)",536,,110,220,196,10
"Otras activ. serv.comun.soc y personales (018)",823,11,256,320,205,31
"Hogares privados con servicio doméstico (019)",890,23,346,324,184,13
"Actividad economica no especificada (021)",715,,202,238,214,61
"Hombres (022)",27855,240,8396,10021,8118,1080
"Agric., ganadería, caza y silvicultura (023)",10575,113,3255,3477,3159,571
"Pesca (024)",394,2,142,164,78,8
"Explotación de minas y canteras (025)",59,,22,24,12,1
"Industrias manufactureras (026)",3531,24,886,1215,1310,96
"Suministro de electricidad, gas y agua (027)",70,,15,33,20,2
"Construcción (028)",2384,11,808,944,567,54
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3124,48,800,1149,962,165
"Venta, mant.y rep. veh.autom.y motoc. (030)",661,4,213,223,208,13
"Comercio al por mayor (031)",247,1,78,123,39,6
"Comercio al por menor (032)",2216,43,509,803,715,146
"Hoteles y restaurantes (033)",369,12,112,122,104,19
"Trans., almac. y comunicaciones (034)",3396,17,1389,1288,646,56
"Intermediación financiera (035)",76,,19,40,16,1
"Activid.inmobil., empres. y alquileres (036)",1307,2,400,560,329,16
"Admin.pub. y defensa; p. segur.soc.afil (037)",746,,162,275,293,16
"Enseñanza (038)",778,,95,346,322,15
"Servicios sociales y de salud (039)",198,,28,87,75,8
