"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYABACA (000)",35768,32579,1596,554,1039
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",41,,5,4,32
"Profes., científicos e intelectuales (002)",1632,665,407,289,271
"Técnicos de nivel medio y trab. asimilados (003)",374,147,46,43,138
"Jefes y empleados de oficina (004)",381,71,42,63,205
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1619,1514,75,8,22
"Agricult.trabaj.calif.agrop.y pesqueros (006)",19110,18782,322,5,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",805,683,93,14,15
"Obreros construc.,conf.,papel, fab., instr. (008)",763,606,103,29,25
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",9793,9177,384,85,147
"Otra (010)",88,,,,88
"Ocupación no especificada (011)",1162,934,119,14,95
"Hombres (012)",30891,28642,1230,329,690
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",32,,4,4,24
"Profes., científicos e intelectuales (014)",742,255,226,122,139
"Técnicos de nivel medio y trab. asimilados (015)",231,101,29,33,68
"Jefes y empleados de oficina (016)",198,34,20,30,114
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",781,724,39,4,14
"Agricult.trabaj.calif.agrop.y pesqueros (018)",18576,18255,315,5,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",613,500,88,13,12
"Obreros construc.,conf.,papel, fab., instr. (020)",752,596,102,29,25
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",8477,7927,350,79,121
"Otra (022)",85,,,,85
"Ocupación no especificada (023)",404,250,57,10,87
"Mujeres (024)",4877,3937,366,225,349
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,,1,,8
"Profes., científicos e intelectuales (026)",890,410,181,167,132
"Técnicos de nivel medio y trab. asimilados (027)",143,46,17,10,70
"Jefes y empleados de oficina (028)",183,37,22,33,91
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",838,790,36,4,8
"Agricult.trabaj.calif.agrop.y pesqueros (030)",534,527,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",192,183,5,1,3
"Obreros construc.,conf.,papel, fab., instr. (032)",11,10,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1316,1250,34,6,26
