"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANCHIS (000)",26349,24574,83,4606,4875,4176,6085,3272,1214,263,1775,87707
"De 12 a 14 años (001)",32,12,,7,5,,,,,,20,17
"De 15 a 19 años (002)",510,414,4,355,48,4,3,,,,96,475
"De 20 a 24 años (003)",2503,1815,13,1188,481,100,28,5,,,688,2600
"De 25 a 29 años (004)",3167,2667,4,987,936,481,241,13,5,,500,5444
"De 30 a 34 años (005)",3173,3001,5,600,957,729,592,107,7,4,172,8048
"De 35 a 39 años (006)",3175,3080,3,346,758,749,878,288,51,7,95,10328
"De 40 a 44 años (007)",2856,2806,7,210,447,557,942,468,154,21,50,11459
"De 45 a 49 años (008)",2317,2292,4,176,291,382,739,479,172,49,25,10193
"De 50 y más años (009)",8616,8487,43,737,952,1174,2662,1912,825,182,129,39143
"Conviviente (010)",8276,8010,25,2390,2210,1373,1321,510,148,33,266,21545
"De 12 a 14 años (011)",22,6,,6,,,,,,,16,6
"De 15 a 19 años (012)",373,295,3,253,36,1,2,,,,78,336
"De 20 a 24 años (013)",1443,1357,7,851,387,83,26,3,,,86,2003
"De 25 a 29 años (014)",1928,1875,4,670,699,336,158,6,2,,53,3800
"De 30 a 34 años (015)",1686,1667,3,330,531,410,322,63,4,4,19,4494
"De 35 a 39 años (016)",1168,1163,1,128,300,277,329,104,20,4,5,3879
"De 40 a 44 años (017)",693,688,3,66,123,118,208,119,47,4,5,2768
"De 45 a 49 años (018)",423,422,2,26,63,69,126,93,33,10,1,1899
"De 50 y más años (019)",540,537,2,60,71,79,150,122,42,11,3,2360
"Separado(a) (020)",1573,1552,4,582,348,219,260,108,27,4,21,4026
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",56,46,,41,5,,,,,,10,51
