"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHACHAPOYAS (000)",48870,33513,15357
"Casa independiente (001)",44194,28954,15240
"Departamento en edificio (002)",283,283,
"Vivienda en quinta (003)",740,740,
"Vivienda en casa de vecindad (004)",3505,3505,
"Choza o cabaña (005)",110,,110
"Vivienda improvisada (006)",17,17,
"Local no dest.para hab. humana (007)",14,10,4
"Otro tipo (008)",7,4,3
