"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",7776,5209,633,505,1429
"Sin nivel (061)",652,609,13,3,27
"Educación inicial (062)",12,7,1,1,3
"Primaria (063)",2364,2114,87,48,115
"Secundaria (064)",2017,1425,123,70,399
"Superior no univ. incompleta (065)",394,203,31,24,136
"Superior no univ. completa (066)",1435,614,254,220,347
"Superior univ. incompleta (067)",161,68,16,14,63
"Superior univ. completa (068)",741,169,108,125,339
"De 06 a 14 años (070)",134,126,6,2,
"Sin nivel (071)",7,7,,,
"Educación inicial (072)",2,1,1,,
"Primaria (073)",88,85,2,1,
"Secundaria (074)",37,33,3,1,
"De 15 a 29 años (080)",2502,1714,175,122,491
"Sin nivel (081)",84,73,,1,10
"Educación inicial (082)",6,4,,,2
"Primaria (083)",633,561,18,16,38
"Secundaria (084)",899,668,59,29,143
"Superior no univ. incompleta (085)",195,115,16,8,56
"Superior no univ. completa (086)",439,212,54,41,132
"Superior univ. incompleta (087)",61,34,8,4,15
"Superior univ. completa (088)",185,47,20,23,95
"De 30 a 44 años (090)",2989,1750,325,243,671
"Sin nivel (091)",173,163,2,1,7
"Educación inicial (092)",4,2,,1,1
"Primaria (093)",729,638,31,16,44
"Secundaria (094)",699,458,41,23,177
"Superior no univ. incompleta (095)",140,61,12,10,57
"Superior no univ. completa (096)",790,328,168,125,169
"Superior univ. incompleta (097)",67,23,5,7,32
"Superior univ. completa (098)",387,77,66,60,184
"De 45 a 64 años (100)",1751,1251,113,132,255
"Sin nivel (101)",250,235,7,,8
"Primaria (103)",704,633,29,13,29
"Secundaria (104)",350,237,19,17,77
"Superior no univ. incompleta (105)",54,24,3,5,22
"Superior no univ. completa (106)",198,70,30,53,45
"Superior univ. incompleta (107)",32,10,3,3,16
"Superior univ. completa (108)",163,42,22,41,58
"De 65 y más años (110)",400,368,14,6,12
"Sin nivel (111)",138,131,4,1,2
"Primaria (113)",210,197,7,2,4
"Secundaria (114)",32,29,1,,2
"Superior no univ. incompleta (115)",5,3,,1,1
"Superior no univ. completa (116)",8,4,2,1,1
"Superior univ. incompleta (117)",1,1,,,
"Superior univ. completa (118)",6,3,,1,2
,,,,,
"RURAL (120)",34757,33790,501,214,252
"Sin nivel (121)",11008,10919,68,11,10
"Educación inicial (122)",38,38,,,
"Primaria (123)",18983,18579,245,91,68
"Secundaria (124)",4083,3847,93,64,79
"Superior no univ. incompleta (125)",166,127,15,10,14
"Superior no univ. completa (126)",337,213,59,21,44
"Superior univ. incompleta (127)",38,25,6,3,4
"Superior univ. completa (128)",104,42,15,14,33
"De 06 a 14 años (130)",756,748,6,1,1
"Sin nivel (131)",97,97,,,
"Educación inicial (132)",2,2,,,
"Primaria (133)",595,590,4,1,
"Secundaria (134)",62,59,2,,1
"De 15 a 29 años (140)",13229,12820,212,94,103
"Sin nivel (141)",1769,1752,12,2,3
"Educación inicial (142)",17,17,,,
"Primaria (143)",8429,8265,100,37,27
"Secundaria (144)",2715,2580,67,38,30
"Superior no univ. incompleta (145)",95,74,7,6,8
"Superior no univ. completa (146)",149,102,20,7,20
"Superior univ. incompleta (147)",18,13,3,,2
"Superior univ. completa (148)",37,17,3,4,13
"De 30 a 44 años (150)",10151,9787,178,91,95
"Sin nivel (151)",3276,3244,22,7,3
"Educación inicial (152)",19,19,,,
"Primaria (153)",5532,5380,88,37,27
"Secundaria (154)",1049,976,21,22,30
"Superior no univ. incompleta (155)",57,43,6,3,5
"Superior no univ. completa (156)",156,98,32,11,15
"Superior univ. incompleta (157)",14,8,2,3,1
"Superior univ. completa (158)",48,19,7,8,14
"De 45 a 64 años (160)",7443,7275,93,26,49
"Sin nivel (161)",3774,3745,24,1,4
"Primaria (163)",3364,3285,51,15,13
"Secundaria (164)",237,213,3,4,17
"Superior no univ. incompleta (165)",13,10,2,1,
"Superior no univ. completa (166)",32,13,7,3,9
"Superior univ. incompleta (167)",6,4,1,,1
"Superior univ. completa (168)",17,5,5,2,5
"De 65 y más años (170)",3178,3160,12,2,4
"Sin nivel (171)",2092,2081,10,1,
"Primaria (173)",1063,1059,2,1,1
"Secundaria (174)",20,19,,,1
"Superior no univ. incompleta (175)",1,,,,1
"Superior univ. completa (178)",2,1,,,1
