"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJABAMBA (000)",21865,4641,17224
"Casa independiente (001)",21314,4553,16761
"Departamento en edificio (002)",7,7,
"Vivienda en quinta (003)",34,34,
"Vivienda en casa de vecindad (004)",33,33,
"Choza o cabaña (005)",460,,460
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",9,6,3
"Otro tipo (008)",3,3,
