"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AZANGARO (000)",135930,37011,98919
"Casa independiente (001)",95742,35292,60450
"Departamento en edificio (002)",32,32,
"Vivienda en quinta (003)",100,100,
"Vivienda en casa de vecindad (004)",1550,1550,
"Choza o cabaña (005)",38426,,38426
"Vivienda improvisada (006)",4,4,
"Local no dest.para hab. humana (007)",72,29,43
"Otro tipo (008)",4,4,
