"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia SANTIAGO DE CHUCO",,,,
"Viviendas particulares (001)",4306,3320,656,330
"Ocupantes presentes (002)",18568,14069,2919,1580
"Casa independiente",,,,
"Viviendas particulares (004)",4135,3188,620,327
"Ocupantes presentes (005)",17819,13477,2781,1561
"Departamento en edificio",,,,
"Viviendas particulares (007)",88,88,,
"Ocupantes presentes (008)",392,392,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",11,8,3,
"Ocupantes presentes (011)",34,24,10,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",67,35,32,
"Ocupantes presentes (014)",296,172,124,
"Choza o cabaña",,,,
"Viviendas particulares (016)",3,,,3
"Ocupantes presentes (017)",19,,,19
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",2,1,1,
"Ocupantes presentes (023)",8,4,4,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3613,2806,565,242
"Ocupantes presentes (029)",15485,11804,2481,1200
"Casa independiente",,,,
"Viviendas particulares (031)",3453,2684,530,239
"Ocupantes presentes (032)",14782,11254,2347,1181
"Departamento en edificio",,,,
"Viviendas particulares (034)",86,86,,
"Ocupantes presentes (035)",375,375,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",9,6,3,
"Ocupantes presentes (038)",28,18,10,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",61,29,32,
"Ocupantes presentes (041)",277,153,124,
"Choza o cabaña",,,,
"Viviendas particulares (043)",3,,,3
"Ocupantes presentes (044)",19,,,19
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",1,1,,
"Ocupantes presentes (050)",4,4,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",693,514,91,88
"Ocupantes presentes (056)",3083,2265,438,380
"Casa independiente",,,,
"Viviendas particulares (058)",682,504,90,88
"Ocupantes presentes (059)",3037,2223,434,380
"Departamento en edificio",,,,
"Viviendas particulares (061)",2,2,,
"Ocupantes presentes (062)",17,17,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",2,2,,
"Ocupantes presentes (065)",6,6,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",6,6,,
"Ocupantes presentes (068)",19,19,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",1,,1,
"Ocupantes presentes (077)",4,,4,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",2648,2353,274,21
"Ocupantes presentes (110)",11187,9911,1197,79
"Casa independiente",,,,
"Viviendas particulares (112)",2480,2221,238,21
"Ocupantes presentes (113)",10457,9319,1059,79
"Departamento en edificio",,,,
"Viviendas particulares (115)",88,88,,
"Ocupantes presentes (116)",392,392,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",11,8,3,
"Ocupantes presentes (119)",34,24,10,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",67,35,32,
"Ocupantes presentes (122)",296,172,124,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",2,1,1,
"Ocupantes presentes (131)",8,4,4,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",2315,2063,236,16
"Ocupantes presentes (137)",9673,8621,990,62
"Casa independiente",,,,
"Viviendas particulares (139)",2158,1941,201,16
"Ocupantes presentes (140)",8989,8071,856,62
"Departamento en edificio",,,,
"Viviendas particulares (142)",86,86,,
"Ocupantes presentes (143)",375,375,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",9,6,3,
"Ocupantes presentes (146)",28,18,10,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",61,29,32,
"Ocupantes presentes (149)",277,153,124,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",1,1,,
"Ocupantes presentes (158)",4,4,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",333,290,38,5
"Ocupantes presentes (164)",1514,1290,207,17
"Casa independiente",,,,
"Viviendas particulares (166)",322,280,37,5
"Ocupantes presentes (167)",1468,1248,203,17
"Departamento en edificio",,,,
"Viviendas particulares (169)",2,2,,
"Ocupantes presentes (170)",17,17,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",2,2,,
"Ocupantes presentes (173)",6,6,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",6,6,,
"Ocupantes presentes (176)",19,19,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",1,,1,
"Ocupantes presentes (185)",4,,4,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",1658,967,382,309
"Ocupantes presentes (218)",7381,4158,1722,1501
"Casa independiente",,,,
"Viviendas particulares (220)",1655,967,382,306
"Ocupantes presentes (221)",7362,4158,1722,1482
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",3,,,3
"Ocupantes presentes (233)",19,,,19
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1298,743,329,226
"Ocupantes presentes (245)",5812,3183,1491,1138
"Casa independiente",,,,
"Viviendas particulares (247)",1295,743,329,223
"Ocupantes presentes (248)",5793,3183,1491,1119
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",3,,,3
"Ocupantes presentes (260)",19,,,19
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",360,224,53,83
"Ocupantes presentes (272)",1569,975,231,363
"Casa independiente",,,,
"Viviendas particulares (274)",360,224,53,83
"Ocupantes presentes (275)",1569,975,231,363
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
