"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CONDESUYOS (000)",6355,19257,17271,,278,89.7,1.4
"De 12 a 14 años (001)",605,3,3,,,100,
"De 15 a 19 años (002)",703,111,108,29,97.3,26.1,
"De 20 a 24 años (003)",657,630,614,80,97.5,12.7,
"De 25 a 29 años (004)",593,998,970,66,97.2,6.6,
"De 30 a 34 años (005)",544,1379,1314,49,95.3,3.6,
"De 35 a 39 años (006)",564,1845,1762,44,95.5,2.4,
"De 40 a 44 años (007)",510,1941,1811,10,93.3,0.5,
"De 45 a 49 años (008)",402,1865,1719,,92.2,,
"De 50 y más años (009)",1777,10485,8970,,85.6,,
"Sin nivel (010)",1279,7462,6204,26,83.1,0.3,
"De 12 a 14 años (011)",6,1,1,,100,,
"De 15 a 19 años (012)",8,2,2,,100,,
"De 20 a 24 años (013)",12,18,14,3,77.8,16.7,
"De 25 a 29 años (014)",20,46,41,4,89.1,8.7,
"De 30 a 34 años (015)",58,224,203,5,90.6,2.2,
"De 35 a 39 años (016)",73,338,304,8,89.9,2.4,
"De 40 a 44 años (017)",108,554,489,6,88.3,1.1,
"De 45 a 49 años (018)",105,671,586,,87.3,,
"De 50 y más años (019)",889,5608,4564,,81.4,,
"Educacion Inicial (020)",6,7,7,,100,,
"De 12 a 14 años (021)",2,,,,,,
"De 20 a 24 años (023)",1,1,1,,100,,
"De 25 a 29 años (024)",1,2,2,,100,,
"De 35 a 39 años (026)",2,4,4,,100,,
"Primaria (030)",1986,7139,6561,85,91.9,1.2,
"De 12 a 14 años (031)",266,1,1,,100,,
"De 15 a 19 años (032)",108,28,28,5,100,17.9,
"De 20 a 24 años (033)",145,218,211,29,96.8,13.3,
"De 25 a 29 años (034)",154,370,358,19,96.8,5.1,
"De 30 a 34 años (035)",166,545,514,17,94.3,3.1,
"De 35 a 39 años (036)",198,775,732,15,94.5,1.9,
"De 40 a 44 años (037)",194,831,782,,94.1,,
"De 45 a 49 años (038)",147,726,680,,93.7,,
"De 50 y más años (039)",608,3645,3255,,89.3,,
"Secundaria (040)",1917,2652,2561,109,96.6,4.1,
"De 12 a 14 años (041)",331,1,1,,100,,
"De 15 a 19 años (042)",505,72,69,21,95.8,29.2,
"De 20 a 24 años (043)",284,296,291,32,98.3,10.8,
