"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia QUISPICANCHI (000)",19502,80362,6844,27768,12658,52594
"Casa independiente (001)",17574,72953,6701,27274,10873,45679
"Departamento en edificio (002)",22,86,22,86,,
"Vivienda en quinta (003)",33,105,33,105,,
"Vivienda en casa de vecindad (004)",66,246,66,246,,
"Choza o cabaña (005)",1738,6812,,,1738,6812
"Vivienda improvisada (006)",7,19,7,19,,
"Local no dest.para hab. humana (007)",23,64,14,37,9,27
"Otro tipo (008)",39,77,1,1,38,76
