"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHINCHA (000)",3139,35,1700,817,481,106
"Conviviente (001)",586,1,302,203,66,14
"Separado(a) (002)",140,,41,58,39,2
"Casado(a) (003)",840,,160,320,290,70
"Viudo(a) (004)",36,,2,5,19,10
"Divorciado(a) (005)",10,,,4,4,2
"Soltero(a) (006)",1527,34,1195,227,63,8
"Hombres (008)",1980,26,982,514,366,92
"Conviviente (009)",361,1,170,130,47,13
"Separado(a) (010)",61,,14,25,21,1
"Casado(a) (011)",583,,73,209,238,63
"Viudo(a) (012)",20,,1,3,9,7
"Divorciado(a) (013)",6,,,2,2,2
"Soltero(a) (014)",949,25,724,145,49,6
"Mujeres (016)",1159,9,718,303,115,14
"Conviviente (017)",225,,132,73,19,1
"Separado(a) (018)",79,,27,33,18,1
"Casado(a) (019)",257,,87,111,52,7
"Viudo(a) (020)",16,,1,2,10,3
"Divorciado(a) (021)",4,,,2,2,
"Soltero(a) (022)",578,9,471,82,14,2
,,,,,,
"AREA URBANA (024)",2906,29,1563,772,447,95
"Conviviente (025)",561,1,288,195,64,13
"Separado(a) (026)",134,,41,58,33,2
"Casado(a) (027)",787,,150,305,269,63
"Viudo(a) (028)",34,,2,5,18,9
"Divorciado(a) (029)",9,,,4,4,1
"Soltero(a) (030)",1381,28,1082,205,59,7
"Hombres (032)",1816,21,900,478,336,81
"Conviviente (033)",343,1,163,122,45,12
"Separado(a) (034)",57,,14,25,17,1
"Casado(a) (035)",539,,67,197,219,56
"Viudo(a) (036)",18,,1,3,8,6
"Divorciado(a) (037)",5,,,2,2,1
"Soltero(a) (038)",854,20,655,129,45,5
"Mujeres (040)",1090,8,663,294,111,14
"Conviviente (041)",218,,125,73,19,1
"Separado(a) (042)",77,,27,33,16,1
"Casado(a) (043)",248,,83,108,50,7
"Viudo(a) (044)",16,,1,2,10,3
"Divorciado(a) (045)",4,,,2,2,
"Soltero(a) (046)",527,8,427,76,14,2
,,,,,,
"AREA RURAL (048)",233,6,137,45,34,11
"Conviviente (049)",25,,14,8,2,1
"Separado(a) (050)",6,,,,6,
"Casado(a) (051)",53,,10,15,21,7
"Viudo(a) (052)",2,,,,1,1
"Divorciado(a) (053)",1,,,,,1
"Soltero(a) (054)",146,6,113,22,4,1
"Hombres (056)",164,5,82,36,30,11
"Conviviente (057)",18,,7,8,2,1
"Separado(a) (058)",4,,,,4,
"Casado(a) (059)",44,,6,12,19,7
"Viudo(a) (060)",2,,,,1,1
"Divorciado(a) (061)",1,,,,,1
"Soltero(a) (062)",95,5,69,16,4,1
"Mujeres (064)",69,1,55,9,4,
"Conviviente (065)",7,,7,,,
"Separado(a) (066)",2,,,,2,
"Casado(a) (067)",9,,4,3,2,
"Soltero(a) (070)",51,1,44,6,,
