"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ASCOPE (000)",40868,8102,13843,13192,726,1207,890,2908
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",71,67,,,4,,,
"Profes., científicos e intelectuales (002)",2598,2207,,355,24,11,1,
"Técnicos de nivel medio y trab. asimilados (003)",1714,1094,,533,67,16,4,
"Jefes y empleados de oficina (004)",1580,1569,,8,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5622,1392,60,3643,81,445,1,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3165,34,36,2668,427,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3583,,2200,1309,46,28,,
"Obreros construc.,conf.,papel, fab., instr. (008)",4892,435,1744,2640,49,24,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13943,1021,9595,1825,13,605,884,
"Otra (010)",127,127,,,,,,
"Ocupaciñn no especificada (011)",665,156,208,211,15,75,,
"Desocupado (012)",2908,,,,,,,2908
"Hombres (013)",30072,4782,12884,8932,610,621,26,2217
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",48,45,,,3,,,
"Profes., científicos e intelectuales (015)",1255,994,,242,16,3,,
"Técnicos de nivel medio y trab. asimilados (016)",1163,732,,377,43,11,,
"Jefes y empleados de oficina (017)",793,790,,3,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",2331,896,14,1306,37,78,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3019,34,36,2539,410,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",3241,,2123,1057,44,17,,
"Obreros construc.,conf.,papel, fab., instr. (021)",4803,433,1710,2591,49,20,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",10772,661,8876,722,4,483,26,
"Otra (023)",124,124,,,,,,
"Ocupaciñn no especificada (024)",306,73,125,95,4,9,,
"Desocupado (025)",2217,,,,,,,2217
"Mujeres (026)",10796,3320,959,4260,116,586,864,691
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",23,22,,,1,,,
"Profes., científicos e intelectuales (028)",1343,1213,,113,8,8,1,
"Técnicos de nivel medio y trab. asimilados (029)",551,362,,156,24,5,4,
"Jefes y empleados de oficina (030)",787,779,,5,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",3291,496,46,2337,44,367,1,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",146,,,129,17,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",342,,77,252,2,11,,
"Obreros construc.,conf.,papel, fab., instr. (034)",89,2,34,49,,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",3171,360,719,1103,9,122,858,
"Otra (036)",3,3,,,,,,
"Ocupaciñn no especificada (037)",359,83,83,116,11,66,,
"Desocupado (038)",691,,,,,,,691
,,,,,,,,
"URBANA (039)",35849,7752,11196,11834,579,958,826,2704
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",67,63,,,4,,,
"Profes., científicos e intelectuales (041)",2520,2143,,342,24,10,1,
"Técnicos de nivel medio y trab. asimilados (042)",1655,1052,,521,63,15,4,
"Jefes y empleados de oficina (043)",1521,1510,,8,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",5328,1298,54,3479,76,420,1,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2160,32,32,1803,293,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",3451,,2108,1270,45,28,,
"Obreros construc.,conf.,papel, fab., instr. (047)",4579,407,1661,2443,47,21,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",11099,972,7140,1766,13,388,820,
"Otra (049)",127,127,,,,,,
"Ocupaciñn no especificada (050)",638,148,201,202,14,73,,
"Desocupado (051)",2704,,,,,,,2704
"Hombres (052)",25786,4567,10439,7787,474,424,25,2070
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",45,42,,,3,,,
"Profes., científicos e intelectuales (054)",1218,965,,234,16,3,,
"Técnicos de nivel medio y trab. asimilados (055)",1131,711,,369,40,11,,
"Jefes y empleados de oficina (056)",773,770,,3,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",2203,829,13,1252,36,73,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2065,32,32,1720,281,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",3125,,2039,1026,43,17,,
"Obreros construc.,conf.,papel, fab., instr. (060)",4495,405,1629,2397,47,17,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",8245,621,6604,697,4,294,25,
"Otra (062)",124,124,,,,,,
"Ocupaciñn no especificada (063)",292,68,122,89,4,9,,
"Desocupado (064)",2070,,,,,,,2070
"Mujeres (065)",10063,3185,757,4047,105,534,801,634
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",22,21,,,1,,,
"Profes., científicos e intelectuales (067)",1302,1178,,108,8,7,1,
"Técnicos de nivel medio y trab. asimilados (068)",524,341,,152,23,4,4,
"Jefes y empleados de oficina (069)",748,740,,5,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",3125,469,41,2227,40,347,1,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",95,,,83,12,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",326,,69,244,2,11,,
"Obreros construc.,conf.,papel, fab., instr. (073)",84,2,32,46,,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",2854,351,536,1069,9,94,795,
"Otra (075)",3,3,,,,,,
"Ocupaciñn no especificada (076)",346,80,79,113,10,64,,
"Desocupado (077)",634,,,,,,,634
,,,,,,,,
"RURAL (078)",5019,350,2647,1358,147,249,64,204
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",4,4,,,,,,
"Profes., científicos e intelectuales (080)",78,64,,13,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",59,42,,12,4,1,,
"Jefes y empleados de oficina (082)",59,59,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",294,94,6,164,5,25,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1005,2,4,865,134,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",132,,92,39,1,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",313,28,83,197,2,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2844,49,2455,59,,217,64,
"Ocupaciñn no especificada (089)",27,8,7,9,1,2,,
"Desocupado (090)",204,,,,,,,204
"Hombres (091)",4286,215,2445,1145,136,197,1,147
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",3,3,,,,,,
"Profes., científicos e intelectuales (093)",37,29,,8,,,,
"Técnicos de nivel medio y trab. asimilados (094)",32,21,,8,3,,,
