"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOYOBAMBA (000)",41625,34662,2690,1903,2370
"Hombres (001)",30652,25959,2019,1174,1500
"Mujeres (002)",10973,8703,671,729,870
"De 06 a 14 años (003)",1386,1305,68,10,3
"Hombres (004)",1023,963,52,6,2
"Mujeres (005)",363,342,16,4,1
"De 15 a 29 años (006)",15665,13403,1086,581,595
"Hombres (007)",11607,10092,811,353,351
"Mujeres (008)",4058,3311,275,228,244
"De 30 a 44 años (009)",14330,11212,1033,955,1130
"Hombres (010)",10249,8244,732,575,698
"Mujeres (011)",4081,2968,301,380,432
"De 45 a 64 años (012)",8556,7129,461,345,621
"Hombres (013)",6419,5370,388,229,432
"Mujeres (014)",2137,1759,73,116,189
"De 65 y más años (015)",1688,1613,42,12,21
"Hombres (016)",1354,1290,36,11,17
"Mujeres (017)",334,323,6,1,4
,,,,,
"URBANA (018)",26273,19905,2202,1846,2320
"Hombres (019)",17457,13270,1594,1134,1459
"Mujeres (020)",8816,6635,608,712,861
"De 06 a 14 años (021)",654,600,47,5,2
"Hombres (022)",468,426,36,4,2
"Mujeres (023)",186,174,11,1,
"De 15 a 29 años (024)",8883,6880,871,559,573
"Hombres (025)",5789,4499,620,337,333
"Mujeres (026)",3094,2381,251,222,240
"De 30 a 44 años (027)",9707,6793,873,933,1108
"Hombres (028)",6231,4390,601,560,680
"Mujeres (029)",3476,2403,272,373,428
"De 45 a 64 años (030)",5963,4632,377,337,617
"Hombres (031)",4181,3222,309,222,428
"Mujeres (032)",1782,1410,68,115,189
"De 65 y más años (033)",1066,1000,34,12,20
"Hombres (034)",788,733,28,11,16
"Mujeres (035)",278,267,6,1,4
,,,,,
"RURAL (036)",15352,14757,488,57,50
"Hombres (037)",13195,12689,425,40,41
"Mujeres (038)",2157,2068,63,17,9
"De 06 a 14 años (039)",732,705,21,5,1
"Hombres (040)",555,537,16,2,
"Mujeres (041)",177,168,5,3,1
"De 15 a 29 años (042)",6782,6523,215,22,22
"Hombres (043)",5818,5593,191,16,18
"Mujeres (044)",964,930,24,6,4
"De 30 a 44 años (045)",4623,4419,160,22,22
"Hombres (046)",4018,3854,131,15,18
"Mujeres (047)",605,565,29,7,4
"De 45 a 64 años (048)",2593,2497,84,8,4
"Hombres (049)",2238,2148,79,7,4
"Mujeres (050)",355,349,5,1,
"De 65 y más años (051)",622,613,8,,1
"Hombres (052)",566,557,8,,1
"Mujeres (053)",56,56,,,
