"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",54829,1890,21169,15541,8761,5755,1713
"Hombres (001)",29366,942,10889,8353,4853,3335,994
"Mujeres (002)",25463,948,10280,7188,3908,2420,719
"Viviendas particulares (003)",52872,1842,20809,14533,8403,5603,1682
"Hombres (004)",28038,916,10710,7606,4603,3229,974
"Mujeres (005)",24834,926,10099,6927,3800,2374,708
"Viviendas colectivas (006)",1647,41,301,903,280,96,26
"Hombres (007)",1131,23,148,682,198,65,15
"Mujeres (008)",516,18,153,221,82,31,11
"Otro tipo (009)",310,7,59,105,78,56,5
"Hombres (010)",197,3,31,65,52,41,5
"Mujeres (011)",113,4,28,40,26,15,
,,,,,,,
"URBANA (012)",16574,522,5961,4933,2967,1725,466
"Hombres (013)",8635,237,2996,2576,1558,1003,265
"Mujeres (014)",7939,285,2965,2357,1409,722,201
"Viviendas particulares (015)",15007,477,5622,4203,2678,1592,435
"Hombres (016)",7642,213,2823,2086,1363,912,245
"Mujeres (017)",7365,264,2799,2117,1315,680,190
"Viviendas colectivas (018)",1268,39,281,631,213,78,26
"Hombres (019)",802,21,142,430,144,50,15
"Mujeres (020)",466,18,139,201,69,28,11
"Otro tipo (021)",299,6,58,99,76,55,5
"Hombres (022)",191,3,31,60,51,41,5
"Mujeres (023)",108,3,27,39,25,14,
,,,,,,,
"RURAL (024)",38255,1368,15208,10608,5794,4030,1247
"Hombres (025)",20731,705,7893,5777,3295,2332,729
"Mujeres (026)",17524,663,7315,4831,2499,1698,518
"Viviendas particulares (027)",37865,1365,15187,10330,5725,4011,1247
"Hombres (028)",20396,703,7887,5520,3240,2317,729
"Mujeres (029)",17469,662,7300,4810,2485,1694,518
"Viviendas colectivas (030)",379,2,20,272,67,18,
"Hombres (031)",329,2,6,252,54,15,
"Mujeres (032)",50,,14,20,13,3,
"Otro tipo (033)",11,1,1,6,2,1,
"Hombres (034)",6,,,5,1,,
"Mujeres (035)",5,1,1,1,1,1,
